global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
4537263.444977935	n/a	n/a	20586759569133.047	6930330.755933545	n/a	48029484386638.42	n/a	4300638.460589746	n/a	n/a	18495491168703.746	4289915.826208633	6780538.742867905	n/a	n/a	n/a	n/a	-0.0313348143	0.0348625994	-0.0222683125	-0.0040685439	-0.0068603783	-0.0625167719	-0.1442071358	0.0627643425	-0.0614709596	0.1183113471	-0.029371075299999997	0.0604025424	-0.0757073725	0.030957077000000006	-0.1304107295	0.10026196230000001	-0.053611463399999996	0.0386075768	-0.06434194480000001	0.1075781974	-0.0446694657	0.1466240358	-0.0208104167	0.0655064068	-0.2625195818	0.0538082683	-0.1098168008	0.028116468199999998	0.032349817999999995	-0.0085768896	-0.0613828083	-0.08447488119999999	-0.1474905097	0.056798426900000004	-0.0625188165	0.1132689403	-0.0370527831	0.0551867526	-0.09027061410000001	0.0457271255	-0.1212708792	0.09596992630000001	-0.054684387699999996	0.0254851712	-0.068515162	0.09098223220000001	-0.076290107	0.1476059288	-0.001282673	0.0739379704	-0.2551930042	0.07126264410000001	-0.11303171210000001	0.037352194	0.0303779058	-3.1171e-05	-0.0560908721	0.1154637225	0.11544472929999999	-0.08239159999999998	n/a	n/a	0.006788375750559997	0.0197017	n/a	n/a	0.00038815698289	0.0051345	n/a	n/a	2.6363090250000007e-05	-0.000664257	n/a	n/a	4.4123736204899997e-07	0.00112942	n/a	n/a	1.2755895363999995e-06	1.0587899999999999e-22	n/a	1.1210362640999998e-44	n/a	0.0	0.0	0.0	0.0
4559126.4073015535	21862.962323618118	477989121.56394553	20785633597754.37	6813233.3555676425	-117097.40036590213	46420148757419.52	13711801172.452372	4344044.585837538	43406.12524779234	1884091709.027036	18870723363744.43	4332885.639717688	6656448.991092643	1.128087	57.478626	0.32709000999999993	0.179085	-0.10145695789999999	0.0736568893	0.0381264138	0.1058589115	-0.0649693117	0.0625095095	0.0648534063	0.0689145321	-0.0005170762000000001	0.0732488011	0.0399784234	-0.0695686993	-0.012775891599999999	-0.1433710172	-0.008381820600000001	-0.0034511571000000003	0.1304078344	0.0282446084	0.083292071	-0.0235129752	0.0133913392	-0.0408841457	0.0498031103	-0.06351900190000001	0.0468313111	0.0119607365	0.0850373253	-0.0415050103	0.1343307246	-0.0884565245	0.1177303918	-0.0810462179	0.0606188224	0.072978853	-0.0016922334	0.0762979612	0.0388346581	-0.055188775700000005	-0.03608293	-0.1472258072	-0.0114537616	-0.009576710300000001	0.1283715196	0.024502715699999997	0.0910553506	-0.0143818622	0.023849175499999997	-0.0453028796	-0.0441383778	-0.0686494267	0.0485708428	0.0074744706999999985	0.06759166009999999	-0.0542157796	0.1475223769	0.0483034947	0.1309732368	0.11541307630000001	0.1152422001	0.0148267	0.09721829999999998	0.009451397854889996	0.00021983103289	-0.00913365	-0.02883535	0.0008314774096224999	8.34235623225e-05	-0.13981400000000002	-0.14494850000000006	0.021010067652250008	0.01954795459600001	-0.0008762429999999999	-0.00021198599999999984	4.493806419599993e-08	7.678017950489997e-07	0.000272391	-0.0008570289999999999	7.344987068409999e-07	7.419685688099997e-08	-5.274220000000001e-05	-5.274220000000001e-05	2.7817396608400008e-09	2.7817396608400008e-09	0.0	0.0	0.0	0.0
4565820.498011728	6694.090710174292	44810850.43604177	20846716820064.066	7214974.1427635485	401740.7871959061	52055851880746.6	161395660096.78625	4317990.220338124	-26054.365499414504	678829961.5770807	18645039542935.68	4308190.621214655	7035552.88581627	1.210902	61.698284	0.31351550942999995	0.198757	0.0075222273	-0.0955096917	-0.0401305363	-0.054349239199999996	0.1086935046	-0.0142166523	-0.1123736255	-0.006825848000000001	-0.0194472486	-0.2200504648	-0.0071282370999999995	0.0758919579	0.0141146845	-0.036401872599999996	-0.07404607049999999	0.11690347150000001	-0.0999691819	0.0685021445	-0.0940050348	0.022067672799999997	0.0658929493	0.054000201500000004	0.10179391789999999	-0.10095797349999999	-0.18267430129999998	-0.1366647718	-0.0351453689	-0.130824779	-0.0124512309	0.2457884085000001	0.17275885359999998	-0.0309686552	-0.11155176789999999	-0.010729646	-0.0163438369	-0.22127347739999997	-0.0024997526000000003	0.0799065987	-0.0064566569	-0.0346024845	-0.0794108252	0.10983630550000001	-0.09587039609999999	0.079098729	-0.0969302591	0.0229167322	0.0594003427	0.0587646534	-0.0990322283	-0.0936378771	-0.1949255689	-0.1268055301	-0.030679128599999998	-0.12850838960000002	-0.056344474900000004	-0.25172201510000003	0.1611017612	0.1153118061	0.1148374968	-0.0229584	-0.0377851	0.0014277137820099999	0.00052708813056	1.74943e-06	0.00913539943	8.345552274564432e-05	3.0605053249e-12	0.0416855	0.18149950000000006	0.03294206850025001	0.00173768091025	0.000146686	0.001022929	1.0463837390409998e-06	2.1516782596000003e-08	0.000844873	0.0005724819999999999	3.2773564032399996e-07	7.13810386129e-07	5.3757e-05	0.0001064992	2.8898150489999998e-09	1.1342079600640003e-08	0.0	0.0	0.0	0.0
4640202.0436820695	74381.5456703417	5532614336.309128	21531475006191.254	7645573.559845357	430599.4170818087	58454795059006.41	185415857991.19345	4390904.82947941	72914.60914128646	5316540226.226575	19280045221545.61	4380656.135921193	7759557.398210699	1.375125	70.065811	0.46308754943	0.259166	0.2443382834	0.0157661666	-0.06422925019999999	-0.2007839764	-0.039406951	-0.0829565986	0.2135859034	0.1452390765	0.08044531099999999	-0.1913003671	-0.1223623373	0.032639341	-0.0387565616	-0.07713657410000001	-0.0244997458	0.1542655459	-0.0028781624	0.0536672874	-0.0503843642	0.0930866458	-0.09227083050000001	0.0944912352	-0.0101780537	-0.0055922767	0.0413940312	0.12046008650000001	0.04997921809999999	-0.0810167413	0.1124266093	-0.0314415398	0.0937549507	0.0005261002	0.20624993760000002	0.1572211667	0.0778348752	-0.19249289	-0.1171087087	0.044782680899999996	-0.0449473894	-0.0816338469	-0.0242177272	0.1515017161	-0.0017083341	0.0456414511	-0.0499749128	0.0893444009	-0.1057952217	0.08022078769999999	-0.0087547454	-0.0091330716	0.053086582300000004	0.122528149	0.040162372	-0.0863258732	0.12046938310000001	0.0125947303	0.08747091230000001	0.1151599564	0.11423132949999999	0.08379869999999999	0.10675710000000001	0.011397078400409998	0.007022222121689997	-0.0334935	-0.033495249430000006	0.0011219317343779155	0.0011218145422500002	-0.174796	-0.2164815	0.04686423984225	0.030553641616000007	-0.0008084099999999999	-0.000955096	9.122083692159998e-07	6.535267280999998e-07	0.000404577	-0.00044029599999999996	1.93860567616e-07	1.6368254892899998e-07	-0.000677925	-0.000731682	4.59582305625e-07	5.35358549124e-07	0.0	0.0	0.0	0.0
4554726.809760213	-85475.23392185662	7306015613.996108	20745536311548.445	6892483.0758736525	-753090.4839717047	47506322951204.73	567145277048.7365	4325458.716998559	-65446.11248085183	4283193638.8563094	18709593112458.816	4313584.856658638	6821718.8171217535	1.514331	77.158699	0.451069551	0.24674	-0.0635614716	-0.062238385199999996	-0.13315479060000002	0.0534187304	0.1787667768	-0.0451916849	-0.0440833539	0.0171498651	-0.1069585849	-0.0107491225	-0.1168903342	-0.0453633649	0.031223838700000006	-0.1053197096	0.0085600957	0.049460226100000004	0.086057576	0.011308608400000001	-0.0193645684	0.0044769304	0.0329005817	0.0632381601	0.0652505173	-0.0053631039	-0.033476382799999996	0.056474532699999996	-0.0997995375	-0.1413982254	0.1823399834	-0.1656916299	0.1358730819	-0.049157312599999996	-0.047402823600000005	0.0153061987	-0.1093116031	-0.0122380153	-0.1141140567	-0.033605262999999996	0.021654490499999998	-0.1191349596	0.0040635053	0.0494675019	0.08417352289999999	0.0075316739	-0.013637493799999999	0.0056250872	0.0328367211	0.060287728799999996	-0.07351154780000001	-0.0082327124	-0.0222876919	0.0698954729	-0.1233063105	-0.1435035272	0.1908160314	0.11069315910000001	0.1433445167	0.11495759369999999	0.1134247617	-0.0146869	-0.0984856	0.00969941340736	0.00021570503161	0.000965501	0.034459001	0.0011874227499180012	9.32192181001e-07	0.0360468	0.2108428	0.04445468631184	0.0012993717902400005	0.000105911	0.0009143209999999998	8.359828910409997e-07	1.1217139921000002e-08	0.00126522	0.0008606430000000001	7.407063734490002e-07	1.6007816484000004e-06	-0.000307246	0.000370679	9.4400104516e-08	1.37402921041e-07	1.0	0.0	0.0	0.0
4562015.650695968	7288.840935755521	53127202.18674542	20811986797194.96	7011159.278011274	118676.20213762113	49156354421643.56	14084040953.80951	4332426.158592763	6967.4415942048645	48545242.36865604	18769916419658.848	4321599.279886941	6955890.25573163	1.137868	57.976994	0.32755780100000004	0.188136	0.022060779300000003	-0.0522137078	0.1012222739	-0.0221706544	-0.0582086583	0.0916523025	0.0445247097	0.0330236975	-0.0366008219	0.09744385119999999	0.0581241785	0.0422755959	-0.0584733188	0.0085584079	0.027023463900000003	0.1519668653	0.18273039149999998	-0.009101992	-0.1327595982	-0.0339683179	0.1213833352	0.0853690043	0.028142038900000003	0.097158315	0.0225136455	-0.0446706733	0.10594034109999999	-0.020182146499999998	0.1354893874	0.0404045905	-0.1293085158	0.042924714800000006	0.042376207699999995	0.0359754814	-0.0371695465	0.0985749674	0.0533637164	0.042394317599999995	-0.0558374709	0.0183367672	0.0247506904	0.15528727	0.1828989841	0.0034508316	-0.125919059	-0.0375876078	0.1128669966	0.0916757415	-0.0331012252	0.09904427960000001	0.023230474700000003	-0.051017308399999996	0.0966295051	-0.0278003694	0.1288395621	-0.053580846200000004	-0.1340362575	0.1147048067	0.1124192083	0.0104954	0.0251823	0.0006341482332899999	0.00011015342116	-0.0336144	-0.034579901	0.0011957695531698012	0.00112992788736	-0.13059500000000002	-0.16664179999999998	0.02776948950724	0.017055054025000006	-0.00098187	-0.0010877810000000001	1.183267503961e-06	9.640686968999998e-07	0.000554859	-0.0007103610000000001	5.046127503210001e-07	3.07868509881e-07	-0.00053218	-0.00022493400000000004	2.832155524000001e-07	5.0595304356000015e-08	0.0	0.0	0.0	0.0
4521107.496387595	-40908.15430837311	1673477088.9176652	20440412993892.11	6644731.575578521	-366427.7024327526	44152457711490.21	134269261110.14587	4316340.790581636	-16085.368011127226	258739064.05339503	18630797820438.906	4306718.30567077	6571853.495675922	1.185794	60.418938	0.27076201999999994	0.15048499999999998	-0.10819769800000001	0.010030659300000001	-0.0160356474	0.11952136529999999	-0.0130717911	-0.09822414759999999	0.0145107296	-0.09170989289999999	-0.0735398974	-0.0260177315	0.041568578599999996	0.052222038	-0.021178717000000003	-0.1665644629	-0.059041197300000015	-0.0081483297	-0.003434677	0.13851899410000001	-0.0371136958	-0.0603694542	-0.0430993352	0.0626790795	0.0377939897	-0.0878964877	0.0086405184	0.0193347453	0.047096920599999995	-0.050434438600000006	-0.1023162518	-0.1664057716	0.0400778412	-0.0273038701	0.0174980756	-0.0895918022	-0.069602887	-0.027264712200000003	0.0406939834	0.0677833982	-0.06277586	-0.151200807	-0.0624851271	-0.0273897909	0.0015441585	0.1472242196	-0.0341912873	-0.052219706799999994	-0.040034858900000005	0.044029600999999995	-0.0465992206	-0.0834308172	0.0078147077	0.0168657225	0.0412299494	-0.055269515899999996	-0.07499449059999999	0.18243985280000002	0.0505806834	0.1144017065	0.1112164334	0.0484514	0.037956000000000004	0.0014406579359999994	0.00234753816196	0.00212587	0.035740270000000005	0.0012773668996729002	4.519323256900002e-06	-0.0113636	0.11923140000000003	0.014216126745960003	0.00012913140496000004	0.00018514	0.00116701	1.3619123401e-06	3.4276819600000005e-08	0.000717792	0.00016293299999999998	2.6547162488999997e-08	5.152253552640001e-07	-0.0007589239999999999	-0.00022674399999999986	5.75965637776e-07	5.1412841535999945e-08	0.0	0.0	0.0	0.0
4532469.782924862	11362.286537266335	129101555.35494384	20543282333126.94	6681714.965684338	36983.390105816536	44645314882650.05	1367771143.7190087	4323738.0015374385	7397.210955803283	54718729.92465612	18694710305938.97	4311951.5553084025	6678485.273133747	1.1195560000000002	57.043964	0.33690462	0.16475499999999998	-0.0685405476	0.0833052559	0.038168435	0.10088347060000001	-0.0548481095	0.0533663496	0.0065779333999999995	0.0685807802	-0.08186151480000001	0.0108774435	0.0988233975	0.0109417266	-0.106521731	-0.09329121480000001	-0.0879017219	-0.0274211553	-0.0543934113	-0.1647274456	0.046353341900000004	0.0376586516	-0.10246185460000001	0.1092994055	-0.0474454387	0.0174064212	0.11498090119999999	0.0320671072	0.0095578368	0.0827951116	-0.0291507469	0.0847426133	0.0516840594	-0.0653405121	0.0015865461	0.0709747271	-0.0819402664	0.015491439199999997	0.1009830086	0.0201764014	-0.1131205024	-0.0858121232	-0.0516530272	-0.0172986476	-0.0643828795	-0.1744124197	0.0390607968	0.0017110388	-0.1257335231	0.10159364369999999	0.0309350253	0.014114058300000001	0.11627535509999999	0.0243477112	0.023330489300000003	0.0826158749	-0.0356092458	-0.0675875904	0.0487736188	0.1140484259	0.10981854710000001	-0.0302869	-0.0787383	0.006199719886889999	0.00091729631161	-0.0179533	-0.02007917	0.0004031730678889	0.00032232098088999994	-0.118277	-0.1069134	0.011430475099559998	0.013989448729	-0.00129027	-0.00147541	2.1768346681000003e-06	1.6647966729000004e-06	-0.00012898399999999998	-0.0008467759999999999	7.170295941759999e-07	1.6636872255999996e-08	-0.000457635	0.00030128899999999983	2.09429793225e-07	9.077506152099992e-08	0.0	0.0	0.0	0.0
4602609.728807934	70139.94588307197	4919612008.480268	21184016315717.44	7322686.635544402	640971.669860065	53621739562380.6	410844681563.2001	4344201.306046135	20463.304508695383	418746831.4155926	18872084987452.94	4332877.938587102	7506652.14219101	1.373536	69.98484000000002	0.29544990000000004	0.19429	0.17850169940000002	-0.12867438960000002	-0.0189262947	-0.1087828489	0.00010009959999999999	0.05743149230000001	0.1655815494	-0.0415360212	-0.0045858226	0.0385469372	-0.1191849189	0.1072416651	0.0252232195	-0.00810367	-0.13584242929999998	0.048530071900000006	0.08888891439999999	-0.1411711633	0.048157787300000005	-0.018958838500000002	-0.0243163323	0.01031562	0.0776116841	0.0955437745	-0.0591842263	-0.0066384823999999995	0.0918960826	-0.08682628519999999	-0.1412443934	-0.0667014308	0.01119742	0.0025745588	0.1653283496	-0.0333794734	-0.0102038105	0.039048805	-0.1194994984	0.11292176779999999	0.0204314451	-0.0123021292	-0.12125701039999999	0.05840954	0.0738457521	-0.1495549703	0.048473876900000004	-0.047256834299999995	-0.0264737323	0.0047383597	-0.0778936829	0.09694941480000001	-0.0569807707	-0.0016686785	0.09426598800000001	-0.0867201693	-0.12069896570000001	0.09248351869999999	0.0216204765	0.1136451198	0.1082280018	0.143267	0.1735539	0.030120956205210006	0.020525433289	-0.040607300000000006	-0.02265400000000001	0.0005132037160000003	0.0016489528132900006	-0.1165	0.0017769999999999871	3.157728999999953e-06	0.01357225	-0.00078189	0.00050838	2.584502244e-07	6.113519721e-07	0.000282751	0.000411735	1.69525710225e-07	7.994812800099999e-08	-0.00148682	-0.001029185	2.2106337124000003e-06	1.0592217642249998e-06	0.0	0.0	0.0	0.0
4524613.8411513455	-77995.88765658812	6083358491.339113	20472130411538.33	6801782.706981802	-520903.9285626002	46264247992996.7	271340902791.9505	4299710.962138448	-44490.34390768688	1979390701.0242512	18487514357933.54	4288762.438548078	6822448.645709133	1.471766	74.989899	0.3994602700000001	0.241189	-0.0305379585	0.0814224269	-0.08214171070000001	0.0654053092	0.024034783599999998	-0.1337340695	-0.1303775077	0.0564426728	0.058610691	0.0350617602	-0.0249892211	-0.036168618900000005	0.0363176645	-0.0449269337	-0.1655230807	0.1254688762	0.11317924630000001	-0.0182775397	0.0252105169	-0.10485794119999996	-0.11396478439999999	0.027739225899999997	0.11704024130000001	0.027137627200000004	0.1379818122	-0.0671684255	-0.0393758934	0.0037405588	0.08394667689999999	-0.0119034751	-0.0887987097	0.1421140838	-0.1333353497	0.050951078	0.056710955599999995	0.035111859599999996	-0.028543646800000006	-0.029026397599999997	0.011453571899999999	-0.0543961424	-0.1702675237	0.1195347133	0.1022735381	-0.0159530133	0.0293766746	-0.1170313006	-0.1001726866	-0.0116002228	-0.1285662803	0.0267962115	0.13833415699999999	-0.0761108797	-0.050253739900000004	-0.0028130290000000003	0.0814212525	0.0054903159	-0.101423681	0.11319196529999999	0.1064475877	-0.0666693	-0.2099363	0.044073250057690014	0.0044447955624899995	-0.00854498	0.032062320000000005	0.0010279923637824004	7.301668320040001e-05	-0.0268489	0.08965110000000001	0.008037319731210002	0.0007208634312100001	-0.0012337200000000006	-0.0004518300000000006	2.041503489000005e-07	1.5220650384000016e-06	0.00020944	-7.331099999999998e-05	5.374502720999996e-09	4.38651136e-08	-0.00065575	0.00083107	4.300080625e-07	6.906773449000001e-07	0.0	0.0	0.0	0.0
