global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
4509183.714444638	n/a	n/a	20332737770612.746	6735964.56349681	n/a	45373218600684.77	n/a	4336194.668088987	n/a	n/a	18802584199563.355	4324632.977023525	6720189.243226248	n/a	n/a	n/a	n/a	-0.0999499532	0.088672591	-0.07021529	-0.0688892441	0.1133669869	-0.0803636091	-0.0185321597	-0.0415252723	0.0881557689	-0.1136724305	0.2098884334	-0.2052293143	0.0137449605	0.11902183820000001	-0.06681005450000001	0.0706708004	-0.023520631200000003	0.10804380359999999	-0.06443989230000001	0.1232409717	-0.0414317372	0.17383501269999999	-0.0889028035	0.2643843381	-0.0813236388	0.0907740577	-0.1574114589	0.0396434822	-0.0152739852	0.0403418515	-0.0850558761	0.1151601692	-0.2124645937	0.2026896881	-0.0081663502	0.1223173128	-0.0384427453	0.0941028233	-0.0428428642	0.10321332859999999	-0.0278562903	0.1275152862	-0.0543455801	0.18266828300000001	-0.0889291393	0.2609925189	-0.07661238620000001	0.0947385738	-0.1658914581	0.1154637225	0.11544472929999999	-0.102065	n/a	n/a	0.010417264225	0.0478092	n/a	n/a	0.00228571960464	0.164292	n/a	n/a	0.026991861264	0.00150849	n/a	n/a	2.2755420801e-06	0.00127423	n/a	n/a	1.6236620928999995e-06	-0.00157116	n/a	2.4685437456e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0
4503648.808505334	-5534.90593930427	30635183.75694568	20282852590351.52	6562473.858552633	-173490.70494417753	43066063144186.68	30099024702.027664	4347962.248367037	11767.580278050154	138475945.60035494	18904775713224.934	4335519.139830321	6661183.340361797	1.168514	63.5611	0.4108983	0.224426	-0.10955802	-0.0385709001	0.0417035495	-0.1315213614	-0.0188390167	0.032271830099999996	-0.031847582	-0.1221725516	0.0223911586	-0.0690087972	0.2519510459	0.0435812817	0.1345575016	0.0850271941	0.065099543	0.021528995099999997	0.0034677561	0.054711527	0.11623459369999999	0.0174929173	-0.17123331170000006	0.0977134249	-0.009861039200000001	-0.07372988330000001	0.1458304053	-0.0836691199	0.0721727403	0.0120126359	-0.026485601400000003	0.12330853189999999	-0.0163487008	0.070122961	-0.256272295	-0.0409271791	-0.13629216789999998	0.0874074634	0.06639115599999999	0.0118077558	0.025334078599999997	0.0432978507	0.1041983764	-0.0096039861	-0.17889031960000001	0.08976312	0.0032677745	-0.0785530208	0.14655410929999999	-0.0867531066	0.0822310959	0.11541307630000001	0.1152422001	-0.175837	-0.07377199999999999	0.005442307983999997	0.030918650569000002	0.0343418	-0.013467399999999996	0.00018137086275999992	0.00117935922724	-0.0137195	-0.1780115	0.03168809413225	0.00018822468025	-0.000227516	-0.001736006	3.013716832036e-06	5.1763530256e-08	0.000500838	-0.0007733919999999999	5.981351856639999e-07	2.50838702244e-07	-0.00116761	0.0004035500000000001	1.3633131120999997e-06	1.628526025000001e-07	0.0	0.0	0.0	0.0	0.0	0.0
4560107.488961107	56458.68045577314	3187582598.8071	20794580310879.17	6878237.294557416	315763.436004783	47310148280240.52	99706547517.5467	4349630.48016956	1668.231802523136	2782997.3469495918	18919285314020.074	4338347.435750044	7272579.000222873	1.211973	65.925026	0.34760567600000003	0.23740100000000006	0.1269803427	0.0570283191	0.11787371710000001	-0.0064322178	-0.0558874089	0.0970773647	-0.0916439625	0.0616451009	0.1287405507	-0.115751854	0.20922038910000001	0.033629403599999996	0.1445885542	0.018162291299999998	0.0188572699	-0.08684060460000001	0.0104673688	-0.0779767482	-0.1281570431	-0.0866550558	0.026071846099999997	0.0133059656	-0.1071486535	0.0162057076	-0.0675425672	0.084280257	0.09450020630000001	-0.0333442173	-0.09127159800000001	-0.0622977605	-0.1202696173	0.11740069300000001	-0.2073863478	-0.029947842000000002	-0.1496473937	0.02117149	0.021906542200000004	-0.07984574230000001	-0.0389179464	-0.047438638899999996	-0.1456880833	-0.0737851094	0.0408060036	0.0105593376	-0.11218739039999999	0.0244990753	-0.0679178721	0.08428999779999999	0.0940213759	0.1153118061	0.1148374968	0.048631199999999986	0.2244682	0.050385972811239986	0.0023649936134399994	-0.0006762160000000001	-0.035018016	0.001226261444576256	4.572680786560002e-07	-0.00528269	0.00843681	7.117976297609999e-05	2.79068136361e-05	0.0004680930000000001	0.0006956089999999999	4.83871880881e-07	2.1911105664900003e-07	0.0008448819999999999	0.00034404399999999995	1.1836627393599994e-07	7.138255939239999e-07	-0.00172161	-0.000554	2.9639409921e-06	3.0691600000000005e-07	0.0	0.0	0.0	0.0	0.0	0.0
4504914.492209389	-55192.99675171822	3046266890.4351783	20294254582118.176	7187908.314892344	309671.0203349283	51666025943298.5	95896140835.27556	4356006.583471278	6376.103301717901	40654693.3141779	18974793355245.113	4343451.574993353	7034718.715528953	1.297298	70.566284	0.424624606	0.262677	0.0149473156	-0.0730204134	-0.0332680467	0.0863406592	-0.0105547152	-0.027555373199999997	-0.0303730001	-0.1813930057	0.0483964641	0.041135566400000004	0.2271652413	0.0123418492	0.0739772265	-0.0226302419	-0.0782309582	0.1284618192	-0.054209185	-0.0382805089	-0.0032284951	0.15524935210000002	-0.12436492519999999	0.030314580299999998	-0.0643832734	-0.0947692828	0.0238272835	0.009472727299999999	0.0896318179	0.06186514780000001	-0.0250688056	0.18051759690000002	-0.0467378133	-0.0408407857	-0.2272574441	-0.008705427	-0.08030899820000001	-0.024413643	-0.05878319780000001	0.1466204355	-0.0232750624	-0.04841544440000002	0.0013711214999999998	0.1392034528	-0.1372306315	0.0321590613	-0.06443687940000001	-0.0991806471	0.0192065811	0.006974722900000001	0.0767851965	0.1151599564	0.11423132949999999	-0.19217	-0.24080120000000002	0.057985217921440006	0.036929308900000006	0.0470177	0.047693916	0.0022747096234150554	0.0022106641132899995	0.0701822	0.07546489	0.005694949622712101	0.00492554119684	-0.000184629	-0.0006527220000000001	4.2604600928400015e-07	3.4087867641000006e-08	0.0007305219999999999	-0.00011435999999999997	1.3078209599999995e-08	5.336623924839999e-07	-0.0012754	0.0004462099999999998	1.6266451600000004e-06	1.991033640999999e-07	0.0	0.0	0.0	0.0	0.0	0.0
4553785.761321655	48871.26911226566	2388400944.643492	20736964760015.84	6824347.817284687	-363560.4976076568	46571723131278.28	132176235420.727	4381311.585596367	25305.002125089057	640343132.5507617	19195891210080.95	4370998.089325272	7084959.3925698325	1.100102	59.83984399999999	0.3287188050000001	0.200968	-0.024773271200000002	-0.0680648167	-0.0676045429	-0.09658484269999999	-0.0437371425	-0.1043355623	-0.1396834724	-0.0257620948	0.0079955286	-0.0366523192	0.2397689473	-0.0071091049	0.0397571901	0.1085251064	0.0135550535	-0.0600555855	0.051224721900000006	0.013901753300000002	0.0768647712	-0.044675693499999995	0.1051199236	0.1370557856	-0.2239288725	-0.0165340899	0.0670549186	0.053048476	0.1819674791	-0.0156547473	-0.1379293407	0.0272150208	-0.0022130432999999997	0.0409236195	-0.24635116	0.009209781	-0.0309740662	0.1116879516	-0.0022087452	-0.0807736245	0.0556081191	0.0043393376	0.0641027397	-0.0468680458	0.097498162	0.1354244976	-0.21399236079999998	-0.0159945255	0.0726984588	0.0584644051	0.18418273780000002	0.11495759369999999	0.1134247617	-0.019878	0.172292	0.029684533264	0.000395134884	0.00574576	-0.041271939999999986	0.0017033730313635994	3.30137579776e-05	-0.020740900000000003	-0.0909231	0.008267010113610002	0.00043018493281000015	-6.23297e-05	0.00012229930000000002	1.4957118780490007e-08	3.88499150209e-09	0.000614486	-0.00011603599999999993	1.346435329599998e-08	3.775930441960001e-07	-0.0015217	-0.00024629999999999986	2.3155708900000004e-06	6.066368999999991e-08	0.0	0.0	0.0	0.0	0.0	0.0
4526363.287756675	-27422.47356497962	751992056.4220061	20487964612751.414	7130970.016945774	306622.1996610863	50850733382579.61	94017173325.00308	4356479.287099589	-24832.298496778127	616643048.6330892	18978911778927.746	4343645.760765552	7196865.4908887325	1.161653	63.187889	0.361623275	0.193004	0.0300228634	0.146406365	-0.1291464998	0.06497523599999999	0.20224220920000002	-0.005618403	-0.0347981521	-0.16719158439999998	0.0599324691	-0.0194119163	0.16143526519999998	-0.1592321399	0.11546244380000001	0.035843626	0.020184689199999998	-0.1369897284	-0.0906287536	0.10782217470000001	-0.0085041019	-0.0479999532	-0.1075085683	-0.0235134996	-0.1284218725	0.033507421	0.0287621168	-0.0136359297	-0.06511450889999999	-0.1372947795	-0.0297475826	0.1662281718	-0.0624277781	0.0187317784	-0.1605123825	0.1613085272	-0.1132468499	0.0466133415	0.035663316699999996	-0.10273920560000001	-0.1365040227	0.0979586901	0.029078175	-0.0500066443	-0.0871524692	-0.0322519305	-0.12467338369999999	0.0346243319	0.027513584700000003	-0.016497641	-0.029548344700000007	0.1147048067	0.1124192083	-0.08838999999999997	-0.06851199999999996	0.004693894143999996	0.007812792099999995	0.0400025	0.034256739999999994	0.0011735242354275995	0.0016002000062499994	0.141306	0.1620469	0.02625919779961	0.019967385636	0.000911679	0.0009740087	9.486929476756901e-07	8.311585990409999e-07	0.0013102700000000005	0.0006957840000000005	4.841153746560007e-07	1.7168074729000013e-06	-0.00125534	0.00026636	1.5758785156e-06	7.094764959999999e-08	0.0	0.0	0.0	0.0	0.0	0.0
4443170.190155447	-83193.0976012284	6921091488.4875145	19741761338685.99	6918114.848086122	-212855.16885965128	47860313051309.67	45307322910.27068	4266471.808205082	-90007.47889450658	8101346256.945046	18202781690208.746	4255161.027268297	7139879.795439593	1.436393	78.13232399999998	0.3829762600000001	0.193866	0.0827073777	0.0005471179	0.1163001924	0.0006450838999999999	-0.0769107123	0.0728624718	0.1499402653	0.2104606078	-0.0242062015	0.0294247766	0.0733232417	0.0533038947	0.1254476555	-0.038755683	0.0067648115000000005	-0.0488078466	0.0957591283	-0.1006850154	-0.2496857856	-0.1122161337	0.0289292073	-0.09456602289999999	-0.11604331609999999	0.2791416369	0.0374561112	0.012290693500000002	-0.1331776803	0.0664893636	0.1466252961	-0.21266119719999999	0.030339756800000006	-0.029442723599999998	-0.0637493903	-0.049123033499999996	-0.1283260645	-0.0345595672	0.0031927819	-0.0555305489	0.0246790869	-0.0235574455	-0.2836032855	-0.08568834980000001	0.053662819	-0.0879759587	-0.1246837825	0.2800558163	0.0436117381	0.0045620742	-0.1560181656	0.1144017065	0.1112164334	0.00375884	0.09214883999999997	0.008491408713345593	1.41288781456e-05	-0.00478161	-0.04478411	0.0020056165084921	2.2863794192100005e-05	-0.00583511	-0.14714111	0.021650506252032096	3.40485087121e-05	-0.000137196	-0.001048875	1.1001387656249995e-06	1.8822742416e-08	0.000422201	-0.0008880690000000006	7.886665487610009e-07	1.7825368440099995e-07	-0.00129644	-4.110000000000008e-05	1.6807566736000004e-06	1.6892100000000064e-09	0.0	0.0	0.0	0.0	0.0	0.0
4432110.659436405	-11059.530719041824	122313219.72542976	19643604897489.8	6864572.3398126	-53542.50827352237	47122353408520.24	2866800192.2202115	4284346.301483089	17874.493278007023	319497509.94551826	18355623231031.824	4273422.921329523	6784344.0764922565	1.262425	68.669388	0.41245591	0.221647	-0.0703012485	0.06056627360000001	-0.0361978101	-0.031198097999999997	0.060103960199999994	-0.0585008466	0.1215659762	0.135896314	-0.0248780592	0.0299902604	-0.006589213399999999	-0.2321516336	-0.0769907757	-0.1445766111	0.0429068162	0.1006063575	-0.0659475027	0.003037101	0.0540170308	-0.0086734906	-0.106671835	0.0696938136	0.0359369617	0.022281427700000002	0.1079743974	0.0567085097	0.058514934299999995	-0.14865223119999998	0.11894536039999999	-0.1384676522	0.0225915467	-0.030437568199999997	0.011783329399999999	0.23055388559999998	0.0770650999	-0.1444424488	0.0490295311	0.1016477531	-0.0166722361	-0.0091685738	0.06656078730000001	-0.0254649139	-0.10636346070000001	0.0737010104	0.0329860373	0.0213891395	0.1010979991	0.0490317192	0.0619403244	0.1140484259	0.10981854710000001	-0.07436310000000003	-0.07812194000000001	0.006103037509363602	0.005529870641610002	0.0339575	0.03873911	0.0015007186435921	0.0011531118062500002	0.179763	0.18559811	0.034446658435572104	0.032314736169000005	0.00113658	0.001273776	1.6225052981760004e-06	1.2918140964000005e-06	0.00118329	0.0007610890000000001	5.79256465921e-07	1.4001752241e-06	-0.00146151	-0.00016507000000000002	2.1360114801000004e-06	2.7248104900000006e-08	0.0	0.0	0.0	0.0	0.0	0.0
4443891.149920791	11780.490484386684	138779956.05272517	19748168552344.33	6753351.958931419	-111220.380881181	45607762681202.84	12369973123.354969	4300539.400976422	16193.09949333314	262216471.20098597	18494639139350.645	4290224.671335061	6724462.546575182	1.1426440000000002	62.153896	0.3896602	0.215331	-0.1083377136	-0.0695997693	-0.0025375498	-0.08446270460000001	-0.0491297796	-0.1027535638	0.10638932300000001	0.0438226757	-0.08163800709999999	-0.0307954068	0.10131993380000001	0.0193910485	0.0390967835	0.0448416976	-0.078499826	0.044438312800000004	0.0030078242999999998	0.0154301034	0.047403609699999995	-0.0821491604	0.0228098737	0.0810101273	0.0902010828	-0.1597582269	-0.0120874348	-0.08624267	0.0394073453	0.0084195429	0.1062166062	-0.044437767	0.0855191321	0.032361684	-0.1032340249	-0.0165513123	-0.0338004803	0.048592552000000004	-0.0796033653	0.0454471674	0.018551951599999998	0.0056028534	0.0429009297	-0.0826760176	0.030718313799999997	0.07452811570000001	0.09352528369999999	-0.1541295467	-0.0271387137	-0.08863197560000001	0.0374407463	0.1136451198	0.1082280018	-0.141397	-0.06703389999999998	0.004493543749209997	0.019993111609	0.0267077	-0.0072498000000000016	5.255960004000001e-05	0.0007133012392900001	0.011223	-0.16854	0.0284057316	0.00012595572899999998	-0.000647036	-0.001783616	3.181286035456e-06	4.186555852960001e-07	0.000435716	-0.000747574	5.58866885476e-07	1.89848432656e-07	-0.00105597	0.00040554	1.1150726409e-06	1.6446269160000002e-07	0.0	0.0	0.0	0.0	0.0	0.0
4460645.764008003	16754.6140872119	280717093.21139944	19897360631962.547	7022936.284589314	269584.32565789483	49321634057401.16	72675708640.42189	4310083.616035478	9544.215059055949	91092041.09351031	18576820777217.465	4298189.986903021	7096524.946913738	1.076097	58.534103	0.27496495000000004	0.204897	0.037715522599999995	0.0514828295	0.0897978472	0.0078077164	-0.0095102793	0.1282275976	0.0392153406	0.1155806086	0.0742411629	0.1897580077	0.08303621480000001	0.0414952746	-0.0975443095	0.0471094242	0.049946735199999995	-0.0807636887	-0.18935289940000002	-0.0867463109	0.025156176000000002	-0.0786817004	0.0267823337	0.0931394782	0.0640647466	0.0736092094	0.0813253893	0.19060756339999999	0.0689431566	0.1422936651	0.0382051951	-0.1174779172	-0.0719618066	-0.1881901232	-0.0821264545	-0.045541138499999995	0.0904508259	0.03790833	0.0794627012	-0.0351843828	-0.17699443399999998	-0.1247266934	0.0420207769	-0.0789940797	0.037165620499999996	0.0913363148	0.0634166948	0.0668284902	0.0677798241	0.18875341199999998	0.0316410956	0.11319196529999999	0.1064475877	0.0542385	0.1956355	0.03827324886025	0.0029418148822499997	0.00225324	-0.02445446	0.0005980206138916	5.0770904976000015e-06	0.0129901	0.0017671000000000004	3.122642410000002e-06	0.00016874269801000002	-5.59012e-05	0.0005911348	3.4944035177104005e-07	3.12494416144e-09	0.000445019	9.303000000000002e-06	8.654580900000004e-11	1.98041910361e-07	-0.00151769	-0.0004617199999999999	2.3033829361e-06	2.131853583999999e-07	0.0	0.0	0.0	0.0	0.0	0.0
