global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
4489299.84650339	n/a	n/a	20153813111815.36	7044495.051240079	n/a	49624910526945.96	n/a	4358384.362330187	n/a	n/a	18995514249804.312	4347834.7736137835	6633504.326513573	n/a	n/a	n/a	n/a	-0.0836786917	-0.0480626583	0.1049429647	-0.0115945682	-0.0068501471	-0.0834379277	-0.0477310295	-0.1365411326	0.1525682965	-0.0003677011	0.0839432416	-0.0513386782	-0.1223789138	0.11717659679999999	-0.0171286753	0.18164818030000002	-0.16007766240000001	0.1491490483	-0.13877389769999998	0.1060785459	-0.0210718258	0.0046206637	-0.06568851519999999	0.0629804392	-0.014728473700000001	0.0239223094	-0.0492381955	-0.050060884400000005	0.0664331081	-0.07922243059999999	0.0635105078	-0.032034627	0.0006524179000000001	-0.1773783368	0.1073320214	-0.1674043652	0.1271962874	-0.0473902375	-0.1310737147	0.1590663942	-0.002073875	0.0737416399	-0.054996112	-0.16722760960000002	0.06553362389999999	-0.0365619705	0.1512299148	-0.1518594142	0.1927266011	-0.0987676003	0.1275804805	-0.011053374599999999	0.0095678837	-0.0499136833	0.0652981156	-0.0234091937	0.021894206099999997	-0.0390571154	-0.0317832973	0.1198381017	-0.0077518901000000005	0.0485865047	-0.0350023738	0.0063797611	-0.16896326039999998	0.1357512441	-0.1450165002	0.0944524464	0.1154637225	0.11544472929999999	0.0575881	n/a	n/a	0.00331638926161	-0.00669879	n/a	n/a	4.4873787464099985e-05	-0.023377	n/a	n/a	0.0005464841290000001	0.000353209	n/a	n/a	1.24756597681e-07	0.00010530700000000004	n/a	n/a	1.1089564249000008e-08	-0.000423274	n/a	1.79160879076e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4498171.282763892	8871.436260501854	78702381.32414712	20233544889081.76	6636911.566021825	-407583.4852182539	44048595135194.27	166124297422.6586	4337733.589427488	-20650.772902699187	426454421.47885495	18815932692847.48	4326152.19925223	6592562.667729429	1.33372	62.98278000000001	0.29364655999999995	0.16196300000000002	0.10316129619999999	-0.022055377200000004	0.0633600317	0.1516682045	0.052923107000000004	-0.0830516995	0.017556464	0.10630599369999999	-0.0801828139	-0.0273373227	0.024027232599999997	-0.11302428490000001	-0.1351198842	0.0533565213	-0.0226666679	0.017570575800000002	-0.0004076157	-0.0368929578	-0.19923854789999998	-0.0716695106	-0.07396243150000001	0.0739801302	0.0184359006	-0.0198484545	0.0589517308	0.10221399269999999	-0.1224023724	-0.0019613879999999997	-0.0416761865	0.011316595	-0.055937372	-0.0784580099	0.0426262311	-0.0955097336	-0.022178397599999997	0.0684320943	0.0584613892	0.0213835546	0.10726619779999999	-0.07965920650000001	0.0264423876	0.0164350996	-0.1097861851	-0.1622388728	0.0063194769999999996	-0.0139062953	-0.0224605957	-0.0089200063	0.0134040645	-0.2148170432	-0.0402383108	-0.070147574	0.0603483392	0.037562128	-0.029496382999999998	0.047946266900000006	0.0986121207	-0.137459245	-0.00039354870000000004	-0.011653191100000002	-0.0193224439	-0.06232971320000001	-0.0749558088	0.0301667477	-0.0932062657	-0.0176161755	0.0711847011	0.1193121159	0.11541307630000001	0.1152422001	0.0129115	-0.0446766	0.00199599858756	0.00016670683225000006	-0.013758	-0.0070592100000000015	4.9832445824100015e-05	0.00018928256400000006	-0.125292	-0.10191499999999999	0.010386667225000002	0.015698085264000003	-0.00137102	-0.001724229	2.972965644441e-06	1.8796958404e-06	-0.000748838	-0.0008541450000000001	7.295636810250002e-07	5.607583502439999e-07	-0.000201733	0.00022154099999999999	4.0696203288999996e-08	4.9080414681e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4480170.292382673	-18000.990381218493	324035654.7047207	20071925848748.25	7119199.984077381	482288.4180555558	50683008413287.38	232602118190.5305	4331757.767670475	-5975.821757012978	35710445.67158968	18764125357773.496	4321879.159212655	6608178.579204602	1.355168	63.99562099999999	0.29516481	0.173276	-0.055319651100000006	-0.043686675999999994	0.09760595679999999	-0.0220149862	0.0098163602	-0.0633349981	-0.0068782987	-0.182256817	-0.0109708426	0.102797048	-0.0579005774	-0.1474678466	-0.015137159099999999	0.16499481289999998	0.0883443426	-0.0533701623	-0.0365609627	-0.0532772678	-0.0547755613	0.1958950693	0.0390511639	0.142110934	0.014257356799999999	-0.0554184875	0.0410788085	-0.0189922733	0.0684217313	0.0408714979	-0.0654055146	-0.0033626225	0.09969602279999999	-0.0678601688	-0.0634341507	-0.0189304628	-0.1222309861	0.04518154480000002	-0.024557111099999997	-0.0081710249	-0.1801690952	-0.0040119419	-0.09975164939999999	-0.0656820323	-0.1482060291	-0.0860341183	0.1379351366	0.09964982300000001	-0.029791482	-0.0419866958	-0.060554085099999995	-0.017233701299999998	0.19352534670000002	0.047183173099999996	0.1476844345	0.0257446097	-0.0561720166	0.0440046641	-0.0166819859	0.059963023899999995	0.0196402474	-0.0552653287	-0.0512637576	0.10242060439999999	-0.0708849357	-0.0682087619	-0.022807333399999997	-0.11504557900000001	0.0271580506	-0.0044474718	0.1153118061	0.1148374968	0.0261011	0.013189599999999994	0.00017396554815999983	0.0006812674212099997	-0.00501502	0.008742980000000001	7.643969928040001e-05	2.5150425600400007e-05	-0.008282869999999998	0.11700913000000003	0.013691136503356904	6.860593543689996e-05	0.000448527	0.0018195470000000001	3.3107512852090002e-06	2.01176469729e-07	0.000296471	0.001045309	1.0926709054809999e-06	8.789505384099997e-08	-0.000461339	-0.000259606	2.12833672921e-07	6.739527523600001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4471179.542747831	-8990.749634842388	80833578.99641854	19991446503486.703	6574958.765128967	-544241.2189484136	43230082763146.24	296198504402.4551	4331128.633154332	-629.13451614324	395810.2394027888	18758675236929.31	4319048.21931848	6370260.45908941	1.304895	61.62154	0.36538747	0.195582	0.1078828501	-0.0900538139	0.10526315779999999	0.15400532220000002	0.0313830572	-0.06075639	0.0777729552	0.061552322699999995	0.0472154271	-0.0180131761	-0.18948587190000002	0.029933500499999998	-0.12758309339999999	-0.0113870651	0.0577933824	0.0659226863	0.0354818791	0.0942453825	-0.2119278009	-0.0520460524	0.0388118065	-0.0315566494	-0.052224603	0.007559089699999999	0.1430661429	0.13881289619999998	-0.0407238594	-0.0778725638	0.0065472835	-0.12023327199999999	-0.0896725617	-0.0758475362	-0.0168447594	0.0369211187	-0.13016494480000002	0.0740497326	-0.0761418928	0.0826111252	0.06662587639999999	0.0478523084	0.0261710398	-0.1988740765	0.0300321863	-0.1300226433	-0.056958930199999994	0.057339348899999996	0.03402409	0.0304100398	0.1395945703	-0.1866217405	-0.0209524495	0.046693850599999996	-0.0236389536	-0.0427287874	0.010882676499999999	0.1295739417	0.1423216869	-0.041603406	-0.047000564800000005	0.11831314289999999	-0.0658715835	-0.0977123334	-0.0679797422	-0.025736445299999997	0.0348143453	-0.1349317866	0.0543251171	-0.0325384555	0.1151599564	0.11423132949999999	-0.09290060000000004	-0.11900170000000004	0.014161404602890013	0.008630521480360006	0.00035252	0.0053675400000000005	2.8810485651600014e-05	1.242703504e-07	-0.109349	-0.10106613	0.0102143626331769	0.011957203801	-0.0012188800000000005	-0.0016674070000000005	2.780246103649002e-06	1.4856684544000013e-06	-0.0005517380000000001	-0.0008482089999999999	7.194585076810001e-07	3.044148206440001e-07	-0.000177913	0.00028342600000000003	3.1653035569e-08	8.033029747600004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4522778.209510793	51598.66676296201	2662422411.7152	20455522732425.656	7193866.141765873	618907.3766369056	51751710065645.41	383046340855.5765	4371261.661316822	40133.028162490584	1610659949.4912615	19107928511698.305	4361068.753722452	6876441.910274249	1.258707	59.44040699999999	0.26789482	0.169947	-0.0789302553	0.0479616811	0.09186505	-0.0463505059	0.0230431762	-0.0813618539	-0.13291866789999998	0.0572530523	-0.0372122972	0.08131909650000001	0.11809067150000001	0.1139029574	0.0693360114	-0.122064172	0.0682650642	-0.21231998489999998	-0.272398559	0.0723375533	0.0949056607	0.051502418499999994	-0.1319068265	-0.1955010431	-0.0082645643	-0.15446728740000001	-0.0580982815	-0.0661689563	0.0408652404	-0.0154567066	-0.055384423700000004	-0.0338819898	-0.031658393199999996	0.012519306000000001	0.0274715969	-0.0558061474	-0.1178612883	0.063084796	0.0326507842	-0.13191329	0.0554112171	-0.0377992544	-0.0809403554	0.1191380245	0.124178021	0.10000265529999999	-0.0894588372	0.0998059554	-0.1739335524	-0.2758219019	0.028506050800000002	0.146292687	0.0669535867	-0.1258824679	-0.19912247859999999	-0.0387068632	-0.1476850907	-0.0533490056	-0.0542065559	0.045455023	-0.0428663121	-0.0207103448	-0.0675045492	-0.0311196652	0.0067091671999999995	0.022969932000000002	-0.0575078267	-0.1257036762	0.0455262149	-0.0051301355	0.11495759369999999	0.1134247617	0.048649	0.14154960000000005	0.020036289260160014	0.002366725201	-0.0113321	-0.01168462	0.0001365303445444	0.00012841649040999995	-0.115696	-0.0063470000000000045	4.028440900000007e-05	0.013385564416	-0.000433205	0.0007856750000000004	6.17285205625001e-07	1.87666572025e-07	-0.000207698	0.00034404000000000016	1.1836352160000007e-07	4.3138459204e-08	-0.00121447	-0.001036557	1.4749373809000004e-06	1.074450414249e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4498078.257026627	-24699.95248416625	610087652.7200705	20232708006335.69	6981847.5478670625	-212018.59389880954	48746195181657.33	44951884158.828316	4330071.190262218	-41190.471054604284	1696654905.7001927	18749516512738.863	4318342.837365532	6692238.140731365	1.2740200000000002	60.163532	0.26324932	0.156718	0.044878971600000005	-0.0608078387	-0.0537179571	0.0464581872	-0.08295229030000001	0.076274284	0.1626008125	0.162068476	-0.0013462698	-0.176900628	0.0281128972	0.1514608818	0.0008591275	-0.1194860917	0.0814767638	-0.2481291327	-0.3031441419	-0.1012260418	-0.0679285962	-0.13592432470000002	0.0070754053	-0.18078140410000001	-0.16806385100000001	-0.216085639	-0.0623591215	-0.100093294	-0.054341062	-0.0487662635	0.06311161559999999	-0.10977187669999999	-0.11275694160000001	0.0480080525	0.0609623434	0.1029916146	0.0601799246	-0.1315868372	0.0784176279	0.1672759783	0.1630576068	-0.0061530741	0.1779554546	0.0342041356	0.1635371321	0.0311553	-0.1076436435	0.105874331	-0.2112311192	-0.3209137795	-0.11610930539999999	-0.044854693	-0.10839198679999999	0.0052200809	-0.1757997334	-0.1893603761	-0.1996984197	-0.054981393899999995	-0.1149441458	-0.0229287179	-0.012641591200000002	0.15094301429999998	-0.0281768698	-0.1166937735	0.0563733005	0.07198839	0.10527689529999999	0.0741945487	-0.120374088	0.1125070468	0.1147048067	0.1124192083	-0.08963389999999999	-0.1382829	0.01912216043241	0.008034236029209997	0.00596332	0.01729542	0.0002991315529764	3.55611854224e-05	-0.05815740000000001	0.057538599999999995	0.0033106904899600003	0.003382283174760001	-0.000999026	-0.0005658210000000001	3.2015340404100013e-07	9.98052948676e-07	-0.000275502	-6.780399999999999e-05	4.597382416000001e-09	7.5901352004e-08	-0.0008454469999999999	0.00036902300000000017	7.147806298089998e-07	1.3617797452900006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4564082.834677197	66004.57765057031	4356604270.830166	20830852121795.04	7725538.663194444	743691.1153273806	59683947636512.2	553076475016.8833	4358580.893662889	28509.70340067055	812803187.994206	18997227406603.184	4348560.826717465	7396001.430773751	1.527894	72.15232799999998	0.38467232	0.226438	-0.1038373857	0.1795240108	-0.06614534820000001	-0.17081144620000002	0.0536820093	0.046881462	-0.11617703119999999	0.047347217999999996	-0.13706821730000002	0.0161564152	0.0323239386	0.11300682990000001	0.12614911380000002	-0.031953628	0.2215511909	0.0344189197	0.0114761018	-0.1493963706	-0.0366413487	-0.0812367077	0.08991156410000001	0.0638535211	-0.2402874136	-0.0724087016	-0.0059771751	-0.069593536	-0.0084633854	0.010038429	0.07651148719999999	-0.064732098	0.0621914414	-0.0180056964	0.1528456303	0.06096165980000001	-0.0859935148	0.0321809431	0.1712129534	-0.1156531539	0.045696587999999996	-0.13474569109999998	-0.0148792901	0.0363345776	0.11768023050000001	0.10204839689999999	0.0152953952	0.22307459579999997	0.07450794919999999	0.005464422900000001	-0.136551075	-0.0838414166	-0.08277067860000001	0.0758200636	0.0784717469	-0.2344917514	-0.054157514000000004	0.0060389061	-0.0849717355	0.0033265886	0.031684241	0.1007783078	0.008851467	0.055507859400000005	-0.0391814883	0.14753517929999999	0.054865980599999996	-0.10438285369999999	0.025516565699999997	0.1216204874	0.1144017065	0.1112164334	0.10963699999999997	0.1992709	0.039708891586809986	0.012020271768999995	-0.026217200000000003	-0.032180520000000004	0.0010355858674704003	0.0006873415758400003	-0.13736800000000002	-0.07921060000000002	0.0062743191523600035	0.01886996742400001	-0.000526186	0.0004728400000000001	2.235776656000001e-07	2.7687170659600003e-07	0.000198101	0.000473603	2.2429980160900002e-07	3.9244006200999984e-08	-0.00137921	-0.0005337630000000001	1.9022202241e-06	2.8490294016900016e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4502862.5337419715	-61220.30093522557	3747925246.59958	20275770997777.168	7135926.114732143	-589612.5484623015	50921441514916.17	347642957304.20984	4355401.444761159	-3179.4489017296582	10108895.31870993	18969521745027.59	4344202.543592575	6797547.95718282	1.409199	66.54714200000001	0.34893915	0.201271	-0.0270016805	-0.0784850855	-0.06926132900000001	0.0206502953	-0.136417221	0.0479047155	0.0435580025	0.0175047181	0.2061309824	0.0355455977	-0.0853668185	-0.0131337265	-0.0153003552	0.030397857799999997	-0.0016384054999999998	-0.10388609720000001	-0.1396110244	-0.0550328617	-0.0606655396	-0.1240397794	0.0561217596	-0.0576506129	-0.04358376	-0.033941118799999996	0.073089077	-0.013063811699999999	-0.1645799878	0.07983717259999999	0.1059633256	0.0701746783	-0.0001060191	0.13049833630000002	0.118160079	-0.1506835933	0.039281964100000004	0.0602237193	0.1357318652	0.0470199781	0.023491427000000002	0.20532741489999998	-0.0324141009	-0.0911202761	-0.0101673163	-0.0286907736	0.0220347602	0.01137384	-0.0985800169	-0.1512351694	-0.051383322800000006	-0.0586050565	-0.1049039359	0.052152343	-0.0628880268	-0.0405506215	-0.0300683294	0.078654817	-0.0350886361	-0.1563455038	0.0848989003	0.0276849683	0.1103746325	0.0123436751	0.1295774916	0.1291680039	-0.1569281565	0.0314270258	0.0761179544	0.1275137301	0.1140484259	0.10981854710000001	-0.0375067	-0.14714370000000002	0.02165126844969	0.0014067525448899995	0.0032482	0.029465400000000006	0.0008682097971600001	1.055080324e-05	-0.0197359	0.11763210000000003	0.013837310950410004	0.00038950574881	-0.000709488	-0.00018330200000000001	3.3599623204e-08	5.033732221439999e-07	-0.0	-0.000198101	3.9244006200999984e-08	0.0	-0.0006666539999999999	0.0007125560000000001	4.444275557159999e-07	5.077360531360003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4548221.333147801	45358.79940582998	2057420683.5383227	20686317295300.766	7135497.232638889	-428.8820932535455	50915320756997.24	183939.8499135429	4381831.742005558	26430.29724439885	698560612.4272777	19200449415247.46	4372073.500207714	7164248.701560107	1.258125	59.41291800000001	0.37914245	0.21045300000000006	0.0227555942	0.1252137221	-0.1333147174	0.011627273999999998	0.1141433761	0.0792902307	-0.17293886739999995	0.03741009	0.1074466001	-0.0797658465	-0.0140712561	0.028855720699999997	0.0042003328000000005	0.0741886851	-0.1005229617	0.021202346	-0.0384198589	0.0125120423	0.0363184881	-0.0049249654	-0.022384849300000002	-0.013676368400000001	-0.3032003422	0.04775296230000002	0.0954245862	-0.0993398971	0.0860463041	0.0899370712	-0.1104333729	-0.0162186265	0.15127901970000002	-0.0523636296	0.0803698789	0.012010435600000001	0.0076392635	0.0508395721	0.0036450568	-0.171256999	0.0443908095	0.1085370397	0.07873306969999999	-0.015054830900000003	0.0252296196	-0.021597916499999998	0.0796175783	-0.1022512566	0.013297371399999999	-0.038052851400000004	0.0124753075	0.012285595600000001	-0.0035835495000000007	-0.0381830456	0.0061977748999999995	-0.2937435074	0.06914794519999999	0.1176957584	-0.0944015501	0.0748059484	0.0552097012	-0.0842086489	-0.10486903980000001	0.1470284788	-0.0824800706	0.0772353199	0.0145838299	0.010120608	0.0578694242	0.0280937598	0.1136451198	0.1082280018	0.110644	0.1481507	0.02194862991049	0.012242094735999999	-0.0150245	-0.0182727	0.00033389156529	0.00022573560025	-0.130206	-0.1104701	0.012203642994009995	0.016953602435999998	-0.0009343480000000002	-0.00022486000000000026	5.05620196000001e-08	8.730061851040004e-07	-0.000615793	-0.000615793	3.7920101884899996e-07	3.7920101884899996e-07	-0.00187098	-0.0012043260000000001	3.5005661604e-06	1.4504011142760001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4491827.120152957	-56394.212994844645	3180307259.3079057	20176510877341.605	7108703.755505952	-26793.47713293694	50533669083544.43	717890416.8732147	4329501.370936618	-52330.371068939574	2738467736.2129073	18744582120942.05	4320340.280189566	6722299.656853621	1.3194860000000002	62.310581000000006	0.35033653	0.195588	-0.0588373379	-0.0615540508	0.0571359708	-0.0030236368	-0.054607914800000004	-0.0742825602	0.1158726502	-0.010486027	0.011687215	-0.0390810058	0.0255019219	0.0319587715	-0.1150265157	0.10239497410000001	-0.032489665200000004	0.0210625544	0.0700158986	-0.1946389556	0.1146931827	0.0008116747	-0.0896822941	0.0776135509	-0.0190451354	0.0455323408	0.0182630142	-0.0770988752	-0.0225086073	0.04464409440000002	0.1211923114	-0.1508574209	-0.1698220473	-0.029699679500000006	0.018666611899999998	-0.24093698670000002	-0.1366339514	0.0682888342	-0.1065590179	0.11427878109999999	-0.01282162	0.0112176369	0.033713783399999996	0.026312777000000002	0.021015494300000003	-0.1303168073	0.0440183067	-0.0643461944	0.053762250899999996	0.0739055061	-0.2162732795	0.0695402451	-0.016788063500000002	-0.1038595949	0.074883513	-0.004265036099999999	0.0465669584	0.0281764394	-0.0823307276	0.008422187900000001	0.064983721	0.1639314093	-0.0304931924	-0.17295297269999999	-0.0147627473	0.0031091460999999997	-0.2549700122	-0.13784130949999998	0.054721965	-0.1057493689	0.11319196529999999	0.1064475877	-0.0331959	-0.14383990000000002	0.02068991683201	0.00110196777681	0.00559843	0.02062293	0.00042530524178489984	3.13424184649e-05	-0.0293017	0.1009043	0.010181677758489998	0.00085858962289	-0.000435675	0.0004986730000000003	2.4867476092900024e-07	1.89812705625e-07	-0.000236148	0.000379645	1.4413032602500002e-07	5.5765877904e-08	-0.00104991	0.0008210699999999999	1.1023110081e-06	6.741559448999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
