onset	duration	run_number	trial_number	task_condition	fix_direction
15513.1059	2.6000003	5	1	3	1
15515.7059	2.6000033	5	2	3	6
15518.3059	2.6000036	5	3	3	11
15520.9059	2.6000009	5	4	3	16
15523.50591	2.6000021	5	5	3	21
15526.10591	2.600003	5	6	3	22
15528.70591	2.6000035	5	7	3	17
15531.30591	2.6000024	5	8	3	12
15533.90592	2.6000015	5	9	3	7
15536.50592	2.6	5	10	3	2
15539.10592	2.6000035	5	11	3	3
15541.70592	2.6000001	5	12	3	8
15544.30592	2.6000014	5	13	3	13
15546.90592	2.6000018	5	14	3	18
15549.50592	2.6000024	5	15	3	23
15552.10593	2.600004	5	16	3	24
15554.70593	2.6000021	5	17	3	19
15557.30593	2.6000005	5	18	3	14
15559.90593	2.6000004	5	19	3	9
15562.50593	2.6000039	5	20	3	4
15565.10594	2.6000042	5	21	3	5
15567.70594	2.6000002	5	22	3	10
15570.30594	2.6000018	5	23	3	15
15572.90594	2.6000039	5	24	3	20
15575.50595	2.6000024	5	25	3	25
15578.10595	2.6000034	5	26	3	20
15580.70595	2.6000021	5	27	3	15
15583.30596	2.6000053	5	28	3	10
15585.90596	2.6000008	5	29	3	5
15588.50596	2.6000021	5	30	3	4
15591.10596	2.6000019	5	31	3	9
15593.70597	2.6000042	5	32	3	14
15596.30597	2.6000016	5	33	3	19
15598.90597	2.6000035	5	34	3	24
15601.50598	2.6000012	5	35	3	23
15604.10598	2.600002	5	36	3	18
15606.70598	2.6000029	5	37	3	13
15609.30598	2.6000005	5	38	3	8
15611.90598	2.6000017	5	39	3	3
15614.50598	2.6000026	5	40	3	2
15617.10599	2.6000013	5	41	3	7
15619.70599	2.6000003	5	42	3	12
15622.30599	2.6000016	5	43	3	17
15624.90599	2.6000014	5	44	3	22
15627.50599	2.6000089	5	45	3	21
15630.106	2.6000032	5	46	3	16
15632.706	2.6000009	5	47	3	11
15635.306	2.6000003	5	48	3	6
15637.906	2.6000029	5	49	3	1
15640.50601	2.6000008	5	50	3	6
15643.10601	2.6000036	5	51	3	11
15645.70601	2.6000044	5	52	3	16
15648.30602	2.6000017	5	53	3	21
15650.90602	2.6000022	5	54	3	22
15653.50602	2.6000011	5	55	3	17
15656.10602	2.6000002	5	56	3	12
15658.70602	2.6000026	5	57	3	7
15661.30602	2.6000009	5	58	3	2
15663.90602	2.6000042	5	59	3	3
15666.50603	2.6000033	5	60	3	8
15669.10603	2.6000018	5	61	3	13
15671.70603	2.6000028	5	62	3	18
15674.30604	2.6000042	5	63	3	23
15676.90604	2.6000033	5	64	3	24
15679.50604	2.6000006	5	65	3	19
15682.10605	2.6000017	5	66	3	14
15684.70605	2.6000031	5	67	3	9
15687.30605	2.6000007	5	68	3	4
15689.90605	2.6000042	5	69	3	5
15692.50605	2.6000011	5	70	3	10
15695.10606	2.6000026	5	71	3	15
15697.70606	2.6000024	5	72	3	20
15700.30606	2.600001	5	73	3	25
15702.90606	2.6	5	74	3	20
15705.50606	2.6000017	5	75	3	15
15708.10606	2.6000039	5	76	3	10
15710.70607	2.6000023	5	77	3	5
15713.30607	2.6000027	5	78	3	4
15715.90607	2.6000008	5	79	3	9
15718.50607	2.6000025	5	80	3	14
15721.10608	2.6000019	5	81	3	19
15723.70608	2.600004	5	82	3	24
15726.30608	2.6000033	5	83	3	23
15728.90609	2.6000024	5	84	3	18
15731.50609	2.6000023	5	85	3	13
15734.10609	2.6000043	5	86	3	8
15736.70609	2.6000034	5	87	3	3
15739.3061	2.6000039	5	88	3	2
15741.9061	2.6000008	5	89	3	7
15744.5061	2.6000024	5	90	3	12
15747.1061	2.6000019	5	91	3	17
15749.70611	2.6000031	5	92	3	22
15752.30611	2.600001	5	93	3	21
15754.90611	2.6000023	5	94	3	16
15757.50611	2.6000012	5	95	3	11
15760.10611	2.6000016	5	96	3	6
15762.70612	2.6000042	5	97	3	1
