global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
4452264.566737138	n/a	19822659772223.03	n/a	6857099.091457529	n/a	n/a	47019807950067.67	4096720.909630671	n/a	16783122211405.154	n/a	4044862.953777292	7004642.81808259	n/a	n/a	n/a	n/a	-0.011093791799999999	0.07331767559999999	-0.0976956933	0.103903911	-0.045195943200000005	-0.06379483309999999	0.1188988644	-0.0243659426	0.1279272576	-0.11480845560000001	0.11808663470000001	-0.016370254	0.0707410819	-0.154638876	0.0021623827	-0.016927664499999998	0.0212410561	-0.009818278	0.0410786888	-0.060900047	0.2275901856	-0.0493119359	0.0103928483	-0.0592085169	0.1245241595	-0.08764714380000001	0.1252056195	-0.07173925099999999	0.2646381704	-0.028067284900000003	0.0610973663	-0.0644843568	0.0095295747	-0.0218260534	-0.04913686	0.0573997703	-0.1182547529	0.1049850038	-0.0882815917	0.1124817291	0.139834703	-0.0588800813	0.09877714439999999	-0.1012284141	0.048770370800000004	-0.0338322489	0.0325098776	-0.014657440700000001	0.0728971893	-0.0375694876	0.1595021378	-0.12682579759999998	0.0012845069	-0.004777047	0.1505596245	-0.00018588419999999997	0.0314940434	-0.0422165604	0.12175969380000001	-0.29166854989999996	0.032659474	-0.07666967820000001	0.0053936503	-0.0184561729	0.1154637225	0.11544472929999999	0.0567326	n/a	n/a	0.0032185879027600006	0.0832543	n/a	n/a	0.006931278468489999	0.00616083	n/a	3.79558262889e-05	n/a	-0.000281763	n/a	n/a	7.939038816899999e-08	0.00266259	n/a	7.089385508099999e-06	n/a	0.00146767	n/a	n/a	2.1540552289e-06	0.0	0.0
4444781.52398871	-7483.042748427951	19756082795991.4	55995928.77480012	6824056.694739383	-33042.39671814628	1091799980.879364	46567749773017.39	4109889.8292198363	13168.919589165132	16891194408324.654	173420443.14589715	4054204.8620617837	7072105.037804267	1.251983	49.293468	0.177038919	0.107287	-0.070154945	0.047393575800000004	-0.09460767880000001	-0.0312895645	-0.13115750880000002	0.08678082359999999	0.049654759900000005	0.066588099	0.2208490323	0.0944363286	-0.1922722113	0.0639960463	-0.033171339300000005	-0.0795921302	-0.1610971913	0.0176895577	0.021214094399999998	0.0546828739	0.0353839347	0.026917506	0.0945833974	0.1269200165	0.0560418112	-0.0081998168	-0.052584047	0.1029217297	0.11029012630000001	0.0183395753	-0.104046317	-0.027619417	0.0949069053	-0.06541333070000001	0.0821738396	-0.005885883299999999	-0.13105555929999999	-0.0890655841	-0.0462225289	0.2073009534	-0.0231845634	-0.1529433983	-0.14615712849999998	0.0752179825	0.1223429121	-0.1305649756	-0.1104753926	0.024761161299999997	0.0029063101	0.0560394503	0.0094887167	0.041803996499999996	0.0108895101	-0.1001788785	0.1107472456	-0.0431592961	-0.041351391099999996	0.0685273872	0.1459243875	-0.05241072980000002	-0.0775113812	0.0494859537	-0.0952913119	-0.08548631529999999	-0.0608577749	-0.0193865607	0.11541307630000001	0.1152422001	-0.0299014	-0.086634	0.007505449956	0.0008940937219600002	0.0711481	-0.0121062	0.00014656007843999994	0.005062052133610001	0.00011496100000000005	-0.006045869000000001	1.321603152100001e-08	3.6552531965161e-05	-0.00109283	-0.000811067	6.578296784889999e-07	1.1942774088999998e-06	0.00243561	-0.0002269799999999999	5.9321960721e-06	5.1519920399999956e-08	0.00187468	0.0004070100000000002	1.6565714010000017e-07	3.5144251024000007e-06	0.0	0.0
4466169.262652138	21387.738663428463	19946667882658.746	457435365.1351128	6565746.2713561775	-258310.4233832052	66724274828.41073	43109024099827.55	4095996.6684267437	-13893.160793092567	16777188707762.984	193019916.82272452	4042461.78266222	7026409.23281898	1.431271	56.352467	0.22910021100000005	0.121718	-0.0130409011	-0.1328919497	-0.0059276102	-0.1127048769	-0.06275058530000001	-0.1164944587	0.054236180499999995	0.0485640208	0.08705202599999999	-0.1913138878	0.0052882295999999995	-0.042862318600000004	-0.1086354668	-0.0678709872	-0.10841035480000001	-0.0624024662	-0.1475484223	0.1161502318	0.024972977200000003	0.1081418556	-0.0926586446	-0.10251535839999999	0.0410362384	0.0333761393	0.0552634667	0.1661365297	-0.0914563217	0.0618076813	-0.127809976	0.0809794489	0.0013103075	0.021580471099999998	0.0121249879	0.0381875874	-0.0636259671	0.1136110601	-0.061366128	0.115596919	0.0110903705	0.1643286293	-0.0100364184	0.0059168832	-0.0390668585	-0.15889554779999998	-0.0818504307	-0.07747291349999999	-0.1758240685	0.0675911062	-0.0072870114000000005	0.0897858341	-0.0219232669	0.1346819296	-0.0242125683	0.016652131	0.0217839737	0.13740244880000002	-0.0405502965	0.0329540129	-0.10144373640000001	0.1788008621	0.0230422811	0.0113772141	-0.0085614077	0.0322450798	0.1153118061	0.1148374968	0.06626180000000001	0.09616319999999999	0.00924736103424	0.0043906261392400005	0.05712080000000001	-0.0140273	0.00019676514529	0.003262785792640001	-0.0372637	-0.037378661	0.0013885833376899998	0.0013971642981529205	-0.000343349	0.0007494810000000001	5.61721769361e-07	1.17888535801e-07	0.00271559	0.00027998	7.374429048099999e-06	7.83888004e-08	0.0012735200000000006	-0.0006011599999999996	3.613933455999993e-07	1.6218531904000015e-06	0.0	0.0
4435722.771868107	-30446.49078403134	19675636508869.28	926988801.0621053	6591862.060569498	26115.78921332024	682034446.2345737	43452645425575.55	4094290.361996423	-1706.3064303207211	16763213568336.8	2911481.634153842	4040535.324639738	6867001.393369405	1.160384	45.686996	0.1954825	0.113501	0.0756216722	-0.0794433525	0.0174786054	-0.087268981	-0.020409065	0.030329715400000002	0.11431093279999999	0.0946062034	0.1325280413	-0.0852551968	-0.0094488799	-0.0691968858	-0.1298881398	-0.027122189900000003	0.0712286427	-0.10419595470000001	0.2380576091	-0.030323445499999997	0.1399009684	0.0310355465	0.08754428380000001	-0.16475825130000002	0.0285837758	-0.0127934622	-0.0367106944	0.0448883826	-0.0824757797	0.0571439479	-0.021928483399999997	0.08468198519999999	-0.09839448099999999	0.0725056667	0.1109811233	-0.024649708700000002	-0.0196058875	-0.035396652	-0.113592817	0.16891508260000002	0.039694564700000004	0.06530498650000001	0.015231906699999999	0.0857932937	-0.1000607389	-0.0903749837	0.0740028258	-0.0184089236	0.2270740887	0.0696226293	0.1515697126	0.0649943051	0.1604018288	0.0841883452	-0.0302877067	-0.0018747354000000001	0.0030831102	0.0479882372	-0.0550075182	0.0316272796	-0.0262569356	0.0737271521	0.10003783220000001	0.0651499086	-0.1554897592	-0.0306709	0.1151599564	0.11423132949999999	0.0101301	-0.056131700000000014	0.0031507677448900013	0.00010261892601	0.06859910000000001	0.011478300000000006	0.00013175137089000007	0.0047058365208100025	0.0492958	0.0865595	0.00243007589764	0.00749254704025	0.000112591	0.00045594	2.078812836e-07	1.2676733281e-08	0.00305824	0.00034264999999999984	9.3528318976e-06	1.1740902249999993e-07	0.00130119	2.766999999999939e-05	7.656288999999661e-10	1.6930954161e-06	0.0	0.0
4430890.774014778	-4831.997853328474	19632793051249.28	23348203.25457098	6403373.629584943	-188488.4309845548	35527888615.01928	41003193840063.84	4066140.809246589	-28149.552749834023	16533501080620.506	792397320.0156883	4010314.216950737	6777150.095938229	1.0806870000000002	42.54913300000001	0.17496694999999998	0.111117	0.1149088109	0.0153873501	0.13446227189999999	0.015936125	0.059330201900000004	-0.028430990099999998	0.10065080259999999	-0.0898855136	0.167403303	-0.1519648231	0.0125572875	0.0757922657	-0.0356062866	0.0513298744	-0.02923622	-0.0811189199	0.0358695039	-0.0488087887	-0.0699015848	0.09463912279999999	-0.0661128084	0.0954722325	0.0162943622	-0.0953520615	0.0973435821	0.0657713196	-0.0438987678	-0.0479983099	0.0704215197	-0.0547838081	-0.1030991984	-0.0439364429	-0.0053574177	0.11600727109999999	0.060856354	0.0186899121	-0.0983920012	0.15026887619999998	-0.1502141417	0.1111084419	-0.0795662709	-0.0764175617	-0.0634185072	-0.0023433735	-0.0455807061	-0.0763672294	0.0676820209	-0.0173881399	-0.120546697	0.0757138155	-0.0632213469	-0.031084717	-0.0199524289	-0.0979291971	0.0479915187	0.0798508491	-0.06339843769999999	-0.0215465561	0.1147932927	0.0052624854	0.0465387533	0.0047244687	0.0282300128	0.1252934064	0.11495759369999999	0.1134247617	0.0105258	0.0003957000000000005	1.5657849000000044e-07	0.00011079246564	0.0571603	-0.011438800000000006	0.00013084614544000013	0.0032672998960900004	-0.0273799	-0.0766757	0.0007496589240100001	0.005879162970489999	-0.000916044	-0.001028635	1.058089963225e-06	8.39136609936e-07	0.00246349	-0.0005947499999999997	6.0687829801e-06	3.5372756249999977e-07	0.00140694	0.00010574999999999994	1.1183062499999988e-08	1.9794801636e-06	0.0	0.0
4437203.787139942	6313.013125163503	19688777448609.047	39854134.71848666	6506139.071187259	102765.44160231577	10560735987.718971	42329845613629.41	4091040.780831551	24899.97158496221	16736614670426.828	620008584.9319258	4038523.5469445963	6855020.942287402	0.907552	35.73244099999999	0.1585178	0.08072859999999997	0.0705892627	0.0625682222	0.0747010567	0.11788398439999999	-0.0642077188	-0.0380427645	-0.0364265641	0.022070882000000003	0.1117819134	-0.1311357059	-0.023346042999999997	0.0644398749	-0.0242813486	-0.0611299849	0.1045615578	0.0468727891	0.0128960904	0.060358538600000004	0.026627458	-0.1214667249	-0.062074805499999997	0.0106357301	-0.058393802	0.060071721200000004	-0.1418329487	-0.0059515711	0.0469013619	-0.0154793681	0.057333131399999994	0.0754856061	0.05837007690000001	0.0090575526	-0.0494253089	0.0941191711	-0.0639458049	0.035473193300000004	0.037843586	0.1277364223	-0.0264171084	0.1138151724	-0.0392099129	-0.0370621167	0.0278307717	-0.0443331719	0.1179106002	0.0710119841	-0.006981955799999999	0.055856158200000006	0.07884860490000001	-0.09961096289999999	-0.0838768382	0.0272194197	0.0024084874	0.07564522679999999	-0.1160232749	-0.0418513799	0.0885419603	0.040069102200000005	-0.0707827855	-0.0863162661	0.0451825331	0.0184155464	0.061776584	0.0970247924	0.1147048067	0.1124192083	0.0460872	0.035561399999999986	0.0012646131699599994	0.0021240300038399998	0.07478759999999998	0.017627299999999978	0.00031072170528999917	0.005593185113759998	0.0122072	0.0395871	0.00014901573184000001	0.0015671384864100002	-0.000210654	0.00070539	4.975750521e-07	4.4375107716000004e-08	0.00265997	0.00019648000000000018	7.075440400900001e-06	3.8604390400000064e-08	0.00099397	-0.00041296999999999986	1.7054422089999993e-07	9.879763609000002e-07	0.0	0.0
4454380.261358397	17176.474218455143	19841503512779.3	295031266.57725424	6892697.65890444	386558.5877171811	149427541737.90158	47509281017066.74	4091839.1143848924	798.3335533412172	16743147338010.14	637336.4623904143	4039024.8841935038	7142871.795801725	1.236073	48.667061	0.20520282	0.110566	-0.0622408025	0.140066727	-0.1014921782	0.0911217031	-0.0598164858	0.1368313649	-0.049409311399999996	0.060938324400000014	0.0960688698	-0.179468442	0.0608558888	0.0762442222	0.0556225629	-0.14048294960000002	-0.21173969809999998	0.021979262700000002	0.0093050817	-0.006771660600000001	0.07409626150000001	-0.0137405451	-0.0005986053	0.0153615855	-0.0618282404	-0.0710922838	0.047893564000000007	-0.0097905084	0.1644433578	0.0682462286	0.11315179660000001	-0.0244282395	0.11190656369999999	-0.0955938949	-0.0351750595	-0.0591664118	-0.058575046	-0.13604604550000002	0.0459735855	0.1039107653	0.012503646	0.1411758879	0.0346447058	-0.11432734259999999	0.14936793710000001	-0.1836661923	-0.1544495813	-0.012111793000000001	0.0214315622	-0.0104640951	0.0429983042	0.021541990499999997	-0.033144682599999996	-0.0622604724	-0.073885955	-0.0145350726	0.07397141360000001	0.005850917299999999	0.0707694706	-0.1296252748	-0.0512498558	-0.168653041	-0.0171461072	-0.08714180349999999	0.0726072055	-0.071684182	0.1144017065	0.1112164334	-0.0285738	-0.07466099999999999	0.005574264920999997	0.0008164620464400001	0.0655826	-0.009204999999999977	8.473202499999959e-05	0.004301077422760001	-0.00989632	-0.02210352	9.79371495424e-05	0.0004885655963904001	-0.0012380999999999998	-0.0010274459999999998	1.0556452829159997e-06	1.5328916099999994e-06	0.00215429	-0.0005056800000000001	4.6409654041e-06	2.557122624000001e-07	0.0014455099999999995	0.0004515399999999994	2.038883715999995e-07	2.0894991600999986e-06	0.0	0.0
4479974.707001645	25594.445643248044	20070173375374.48	655075647.7851784	6803501.612331081	-89196.04657335859	7955934724.316754	46287634188991.62	4094483.86168672	2644.747301827185	16764798093612.992	6994688.290522174	4039672.5013832217	7321274.558408141	1.3629440000000002	53.662262	0.21764118	0.117036	-0.1545969844	-0.0077484776	-0.1021642283	-0.0341348002	-0.124709858	-0.0859713081	-0.00010344219999999999	0.0812106149	0.23294398300000002	0.14048235550000002	-0.0908587951	0.026661932200000002	-0.019542271200000003	-0.0763334907	-0.082892941	0.0711869425	0.0792014147	-0.08293428139999999	-0.0575629862	0.0090164987	-0.0545507543	0.1217081669	-0.1095207284	-0.1129670067	-0.042858684400000006	-0.0623518542	0.0807605426	0.092550085	-0.1861419486	-0.1041616115	0.10944435150000001	0.0081596165	-0.17613718899999994	0.011468523100000001	-0.1271119181	0.0848131423	0.0040658831	0.2221573769	-0.023109033900000003	-0.1837315261	-0.039221674399999996	0.049914297999999996	0.0877952502	-0.0912203475	-0.045038836	0.0687128016	0.081590994	-0.045394810599999995	-0.08167036820000001	-0.009224718199999999	-0.0638266688	-0.06366956110000001	-0.0651616877	-0.0782954109	-0.0228575398	-0.1445502627	0.0527244762	-0.11341389880000001	-0.11474082769999999	0.081324202	-0.1857002167000001	0.0402181852	0.1895201971	0.0082378663	0.1140484259	0.10981854710000001	0.0679735	0.0965473	0.00932138113729	0.004620396702250001	0.0526012	-0.012981400000000013	0.00016851674596000032	0.0027668862414399987	-0.0443315	-0.03443518	0.00196528189225	0.0011857816216324002	-0.000611727	0.0006263729999999997	3.9234313512899975e-07	3.742099225289999e-07	0.00253735	0.0003830599999999997	6.4381450225e-06	1.467349635999998e-07	0.000981397	-0.0004641129999999995	2.1540087676899952e-07	9.63140071609e-07	0.0	0.0
4433935.469574406	-46039.237427239306	19659783748350.008	2119611382.8817124	6581611.995173745	-221889.61715733632	49235002202.22929	43317616455014.92	4078304.618183295	-16179.243503424805	16632568558695.19	261767920.34311372	4025667.21881192	6909692.025141193	1.495429	58.878513	0.17129385	0.109684	0.034281024	-0.1384390951	-0.009899632700000001	-0.1262399491	0.0280877807	-0.0775008319	0.0416651744	0.0379460551	0.0876244622	-0.0460546392	0.033357151099999996	-0.15150189949999998	-0.1103326229	-0.2033478475	0.10685851939999999	-0.042843186500000005	-0.09128012560000001	0.0784067765	-0.060680255499999995	0.08820818890000001	-0.146847148	-0.11807061599999999	-0.050234108099999994	-0.0882913396	-0.07658390059999999	-0.0953228649	-0.0275718822	-0.054393232199999995	0.20554817539999998	0.0014746649	0.0970944932	0.16580510710000002	-0.0129933632	-0.031647331	0.0265471805	0.07959383910000001	-0.0466506983	0.09288950259999999	0.0026041715	0.0511998525	0.10774840599999999	0.102300713	-0.0347133649	-0.1780271372	0.1672605204	-0.0725973761	-0.1249471347	0.0410972189	-0.0779289834	0.0531897167	-0.0290976473	0.1502485446	-0.1217518435	-0.0178306451	-0.0262746385	-0.0819885516	-0.017212500800000002	0.1192872484	-0.0106601763	-0.23190189239999998	-0.0066295752000000005	0.1617546767	0.0050211758	-0.0293555873	0.1136451198	0.1082280018	0.0493781	-0.0185954	0.00034578890116000017	0.00243819675961	0.0571759	0.004574700000000008	2.092788009000007e-05	0.0032690835408100004	0.0353764	0.0797079	0.0012514896769600002	0.00635334932241	0.00033093300000000005	0.00094266	8.886078756000002e-07	1.0951665048900004e-07	0.00295081	0.00041346	8.7072796561e-06	1.7094917160000004e-07	0.0009692	-1.2196999999999926e-05	1.4876680899999815e-10	9.3934864e-07	0.0	0.0
4442673.272364358	8737.802789952606	19737345804980.64	76349197.59610355	6523961.556467181	-57650.43870656378	3323573083.059268	42562074390261.69	4081126.7771618464	2822.1589785516258	16655595771267.44	7964581.300219557	4024791.377328057	6867486.519006987	1.280622	50.421051	0.22132308	0.121441	0.08665267539999999	0.0039708956	0.0961891352	-0.0248540779	-0.0027653381	0.0016118138	0.046059625300000004	-0.06296063660000001	0.1452307791	-0.0643880424	-0.0017925432	0.1289231062	-0.068696057	0.026105366	0.0766004795	-0.0484968721	-0.026641113900000003	-0.0750434662	0.0226566606	-0.0249750296	-0.043897949000000006	0.06205364	-0.042446437000000004	-0.0471896526	-0.19641122870000002	0.18585399739999997	0.028681708900000002	-0.046626364299999994	0.015895085700000002	0.0380624638	0.0058148343	0.115172927	0.0520495474	0.0882133373	-0.00034662379999999995	-0.0082831736	-0.0399692143	0.1361840974	-0.11228849380000001	0.0276453054	-0.10447569220000001	-0.0931846592	-0.07760768559999999	0.0002875717	0.0622414103	-0.043045405999999994	0.0318718576	-0.0785995678	0.0293163807	0.012609287	-0.065740701	-0.0435222713	-0.058841189	-0.031939690699999995	-0.1952269572	0.1128165956	0.14782896	0.051264792	-0.04707303349999999	-0.0063266736	0.0027473855	0.11651251050000001	-0.0633440237	0.0807300249	0.11319196529999999	0.1064475877	0.00718122	-0.04219688	0.0017805766817344	5.15699206884e-05	0.0509767	-0.006199200000000002	3.8430080640000025e-05	0.00259862394289	-0.0326431	-0.06801950000000001	0.00106557197761	0.004626652380250003	-0.000873547	-0.00120448	1.4507720704e-06	7.63084361209e-07	0.0021935	-0.0007573100000000003	4.811442249999998e-06	5.735184361000002e-07	0.00110556	0.00013635999999999998	1.8594049599999997e-08	1.2222629136e-06	0.0	0.0
