global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
4426823.22647363	n/a	19596763878446.4	n/a	6458642.853652751	n/a	n/a	41714067511039.75	4090337.3981360113	n/a	16730860030590.074	n/a	4034457.903794969	6513933.208215929	n/a	n/a	n/a	n/a	-0.11687573970000001	0.060900101799999995	-0.0744609758	0.0558302543	-0.040320879	0.028134834700000003	-0.0047993514000000004	0.0599838855	-0.10347669150000001	0.1251322818	-0.0447381211	0.0226704912	-0.09660484009999999	0.0134962452	-0.1199362583	0.0057281921	-0.1429062357	0.11512645810000001	-0.09529053400000001	0.0024506523000000003	-0.029810034300000007	-0.031262447400000004	0.0662191958	-0.019591613	0.086795507	0.0432120386	-0.1333706082	-0.158786159	0.17558519260000002	-0.0517828309	0.19254574440000002	-0.1890872686	0.0311932166	-0.012447498400000001	0.068850475	-0.0692993282	0.1043325378	-0.0591359926	0.032231121	-0.0339193328	0.0096207101	-0.101109183	0.0504632875	-0.1368420874	0.0317978336	0.028072519100000002	-0.08599404449999999	0.0072866349	-0.1570485951	0.012017858400000001	-0.1512765981	0.056988206	-0.08108896809999999	0.0535915404	-0.0062026564	0.032022977	-0.021438478700000003	-0.021236659300000002	0.10690132779999999	0.1958573266	-0.029543173399999997	-0.0083654116	0.0819940712	0.1274225254	-0.2333068522	0.14167928789999998	-0.0331340602	0.0498914796	-0.0781222375	0.0803280368	-0.078263855	0.014607705600000001	0.1154637225	0.11544472929999999	0.00948373	n/a	n/a	8.994113471289999e-05	0.0389738	n/a	n/a	0.0015189570864400002	0.0737747	n/a	0.00544270636009	n/a	0.0006796939999999999	n/a	n/a	4.6198393363599997e-07	0.000810437	n/a	6.568081309689999e-07	n/a	0.000405567	n/a	n/a	1.6448459148899993e-07	0.0	0.0
4449955.20373762	23131.97726398986	19802101315271.527	535088372.14174366	6442687.426263045	-15955.427389706485	254575663.18819588	41508221272527.94	4078985.208488597	-11352.189647414256	16638120331068.766	128872209.7908594	4024850.119651897	6618009.282933942	1.212363	46.399139	0.16809853947999998	0.10308	-0.09267884289999999	-0.0647769186	-0.11539932480000001	-0.0654991723	0.0329851096	0.0165386581	-0.0725959203	-0.1371221618	-0.050863442	0.1301523243	-0.0677132086	0.1004120674	0.009553486600000001	-0.0061367753	-0.08833007650000001	0.050105250899999995	0.0041519667	0.06794407599999999	-0.1879230735	0.052833266399999995	-0.0640879947	-0.0055144262	0.0497071526	-0.0447108687	0.0245024504	-0.1360638175	0.0475464802	-0.046517254699999996	0.1280861698	-0.1212010804	-0.0402223975	0.1048403676	-0.11843529650000001	0.09812329119999999	0.0008894259	-0.142542381	-0.10320100539999999	0.0421401224	-0.035859346	-0.022692683199999997	0.07269232839999999	0.1015396221	0.0087885002	-0.1607328675	0.0730776394	0.09463895929999999	0.0114161924	0.0205659869	-0.11392589869999999	-0.0300625929	-0.0041690739000000004	0.0346865545	-0.2047118587	0.0743310109	-0.0119005475	0.0482406014	0.0145468481	0.0490991634	0.0472973661	0.0173702341	0.1712156569	0.038975798799999996	0.17212704199999998	0.025276524100000003	0.0404871468	-0.0864410946	0.1221877175	0.050202736	0.0174735126	0.10137702779999999	0.1043079908	0.0014289396	0.11541307630000001	0.1152422001	7.87052e-06	-0.00947585948	8.979191288470587e-05	6.19450850704e-11	0.023181	-0.015792800000000003	0.0002494125318400001	0.000537358761	0.00660697	-0.06716773	4.36520525809e-05	0.004511503953352899	-0.000369152	-0.001048846	1.100077931716e-06	1.3627319910399998e-07	0.00041873	-0.000391707	1.7533481290000002e-07	1.53434373849e-07	0.000478257	7.268999999999997e-05	5.283836099999998e-09	2.28729758049e-07	0.0	0.0
4435852.14865974	-14103.055077880621	19676784284769.23	198896162.5297344	6432378.5738852015	-10308.852377843112	106272437.34816158	41375494117777.42	4068972.470773335	-10012.737715261988	16556536967911.26	100254916.55462986	4015756.8018569336	6551941.339343747	1.045357	40.007523	0.14254340948	0.08706660000000001	-0.08528912640000001	-0.059417470800000004	-0.0665780367	-0.1019783197	0.1011389609	0.0186447059	0.0337861425	-0.0264350683	-0.0040096514000000005	-0.009443126500000001	-0.1371135041	-0.0389917386	-0.0358081208	0.0693869184	-0.1669328908	-0.11319052339999999	-0.1040205456	0.0289248392	-0.0487855771	0.0150779096	-0.1170496382	-0.0319573515	0.0041987926	0.0092324959	-0.0052304219	0.07284891389999999	-0.0397325658	0.13131618960000002	0.056474044	0.2528469662	0.0817080714	-0.00986757	-0.0119743821	0.1527711634	0.0699975462	0.03234856	0.0003190992	-0.0212732675	-0.0998046685	-0.0176962951	-0.0285447652	0.0236744685	0.0173447914	-0.0041729620000000005	0.1374583587	-0.0262201912	-0.0411819568	-0.059902112599999995	-0.1312098798	0.16909637239999994	-0.1151829318	-0.0047438513	-0.0962442825	-0.023585899100000002	-0.0957702433	-0.0080153346	0.0871414872	-0.0042189613	-0.0409023638	-0.0633266733	-0.1244616006	-0.1107729692	-0.1046733009	0.15340246800000001	-0.0573925424	-0.0674323558	0.0397833724	0.1613825259	-0.040400212799999995	-0.0367841086	0.0043357469000000004	-0.0020528737	0.1153118061	0.1148374968	0.0143466	0.01433872948	0.00020559916310062108	0.00020582493156	0.0311796	0.007998599999999998	6.397760195999998e-05	0.00097216745616	0.069493	0.06288603	0.004829277049	0.003954652769160899	0.000374504	0.0007436560000000001	5.53024246336e-07	1.40253246016e-07	0.0007290709999999998	0.00031034099999999973	5.315445230409996e-07	9.631153628099984e-08	0.000385853	-9.240399999999991e-05	8.538499215999986e-09	1.4888253760900002e-07	0.0	0.0
4489156.95946493	53304.81080519036	20152530206712.414	2841402854.9771385	6968106.1010436425	535727.527158441	287003983355.29816	48554502635401.63	4106559.465289789	37586.994516453706	16863830641961.154	1412782156.779921	4053838.1285741436	6992991.799285504	1.349293	51.63968300000001	0.16639827	0.0970165	0.0825082125	-0.1201333585	0.1212459542	-0.0824496415	-0.1376456639	0.0921127432	0.0223316069	-0.1051665986	0.11731092679999999	-0.0711046829	0.021378542200000003	0.0087998717	0.0381976147	-0.08970083150000001	-0.2426641287	-0.048792725499999995	-0.0360405812	0.1097631391	0.0160839057	-0.0218008462	-0.1273123847	-0.1704430748	-0.0669494718	-0.1088086075	0.0183944097	-0.0881891566	-0.0221172935	0.0209175482	-0.018339542	-0.0011175244	-0.020139565800000002	0.0721828391	0.045314710099999995	-0.162640594	0.0021405837	-0.0125321084	-0.0650029475	-0.0378285947	0.137827667	-0.098065131	-0.027806622799999996	0.127380683	-0.0709812648	0.0653209617	-0.0095432132	-0.0380400841	0.09862440089999999	0.0964984539	-0.22542429149999998	0.1024894625	-0.0689098862	0.0947086895	-0.0015754438	-0.0471775817	-0.1290900226	0.1656554401	-0.0134152995	0.08697528300000001	-0.021768822400000002	0.009360701400000001	0.059689204100000004	-0.0255200312	-0.0099443534	-0.0177481988	0.029697712299999998	-0.0107512678	-0.06289402919999999	-0.1507943247	-0.0679262024	-0.0282169606	0.0840952088	0.018985902199999998	0.1151599564	0.11423132949999999	0.00695695	-0.007389650000000002	5.460692712250001e-05	4.83991533025e-05	0.0171	-0.014079599999999998	0.00019823513615999994	0.00029241	0.00064268	-0.06885031999999999	4.130375824e-07	0.0047403665641023995	-0.000453586	-0.00082809	6.857330481e-07	2.05740259396e-07	0.000295135	-0.0004339359999999997	8.710466822500002e-08	1.8830045209599976e-07	0.000645401	0.000259548	6.7365164304e-08	4.1654245080100003e-07	0.0	0.0
4470049.390599948	-19107.568864981644	19981341554402.97	365099187.93001586	6794062.852941178	-174043.2481024647	30291052210.056087	46159290049715.22	4093979.210989933	-12580.254299855791	16760665780017.756	158262798.24904013	4039677.492184775	6912841.7118935725	1.403182	53.702087	0.20237697	0.111029	0.1145077777	0.0335751786	0.1024204135	0.027784851699999998	-0.0821796996	-0.1445882492	-0.1556057061	0.002323324	-0.2298281646	-0.1549008455	-0.0443627896	0.023599743	0.0384733932	0.1254178442	-0.2131736839	-0.044309967	-0.0278795188	0.019661283	0.0155990395	-0.0687928877	-0.0066209123	-0.0214448291	-0.0129427233	-0.0247021011	0.0932029332	0.08988981970000001	-0.0419333068	-0.0058425546	-0.005269198199999999	-0.0123757055	-0.041033608	0.01938105	0.0176338545	-0.0203207595	0.0733159638	0.0068179252	-0.0612763005	0.0018832058999999999	0.0895073275	0.1416083677	0.1595691848	-0.025626490499999998	0.25474977390000003	0.0385998706	0.056993028	0.035646794	0.0888089316	-0.1246436319	-0.1956824147	0.0893868251	-0.025763067999999997	-0.0005129225	0.0100293199	-0.069141219	0.004867322800000001	0.0152545103	-0.001234845	0.0008047765	-0.0184498016	0.0888311693	-0.0850183258	-0.0578128762	0.0329649097	-0.0390343901	0.0538203481	-0.0091719909	-0.006026951700000001	0.0038330029999999998	-0.0764454766	-0.031868619300000005	0.040704665099999995	0.0182037667	0.11495759369999999	0.1134247617	0.0615426	0.05458565	0.0029795931859225	0.00378749161476	0.0163014	-0.0007986000000000001	6.3776196e-07	0.00026573564196000004	0.0376764	0.03703372	0.00141951111696	0.0013714964170384	0.000805293	0.0012588789999999999	1.5847763366410004e-06	6.48496815849e-07	0.0008044099999999998	0.0005092749999999998	6.470754480999998e-07	2.593610256249998e-07	0.000214375	-0.000431026	1.85783412676e-07	4.5956640625e-08	0.0	0.0
4445488.556884568	-24560.83371538017	19762368509391.64	603234552.7945553	6603651.740037953	-190411.11290322524	36256391917.04479	43608216303706.28	4088497.369941663	-5481.841048269998	16715810744019.895	30050581.27849791	4035060.021424766	6699037.282805418	1.301086	49.794712	0.16500735000000002	0.105758	0.0072202661	0.0944021005	0.0180369854	0.1104238072	0.0187031931	0.0117503999	0.0933649034	-0.0427454038	-0.07787948360000001	0.057188359	0.1116894401	0.0039068846	-0.024065541	-0.1583807623	-0.13310381640000002	-0.0282184246	0.0267838123	-0.1061938702	-0.1004214849	0.0012391531	-0.0552122473	0.11175060789999999	-0.07485492349999999	-0.046007304400000004	0.0059566087	-0.0729197869	-0.049593282999999995	0.014762891799999999	0.0429082242	-0.023099375	-0.010930978999999999	-0.0032012296999999997	-0.0148743221	0.07253867110000001	0.0449138552	-0.09342037119999999	0.0798053867	-0.061382775599999995	-0.020668268899999998	-0.0082193388	-0.0974916082	0.0363154265	0.05800467240000001	-0.0824321744	-0.1280705823	0.0078807226	-0.0017405394	0.1476408776	-0.1076241112	0.08622594039999999	0.0658959133	-0.10115916429999999	-0.117600582	-0.0110146168	-0.022271138399999998	-0.0705141541	-0.09785442050000001	0.0491039877	0.0077481601	-0.0009828063	0.07955953360000001	-0.058543750199999994	0.0145046594	0.021734897000000003	0.0104758102	-0.0070599138	0.0050533648	0.06485961259999999	-0.0359704108	0.094620025	-0.08794062130000001	0.009930748	0.1147048067	0.1124192083	-0.025927099999999998	-0.08746969999999997	0.007650948418089997	0.0006722145144099997	0.0206277	0.0043263000000000025	1.8716871690000016e-05	0.00042550200729000017	0.0265404	-0.011136	0.00070439283216	0.000124010496	0.000178967	-0.000626326	3.92284258276e-07	3.2029187089e-08	0.000646105	-0.00015830499999999975	4.17451671025e-07	2.506047302499992e-08	0.0006712510000000001	0.0004568760000000001	2.0873567937600012e-07	4.505779050010001e-07	0.0	0.0
4449150.861814835	3662.3049302669237	19794943391187.69	13412477.40225742	6607508.728949241	3856.9889112887904	14876363.461804688	43659171603140.42	4085225.1459487337	-3272.223992929328	16689064493091.852	10707449.859902356	4030116.9409470917	6668866.620062925	1.104252	42.261566	0.13119405	0.08704730000000001	-0.0728531988	0.0757110797	-0.0518516759	0.06082362230000001	-0.0420701199	-0.023840189100000003	0.0056107097	0.0861139288	0.01925478	0.0073481587	-0.0229044403	-0.020549828200000002	0.2166680434	0.0393745562	0.057482008499999994	0.0872422158	-0.09890122039999999	0.0901135436	0.000154538	0.0578722037	-0.2583548927	0.1089362821	-0.08658615630000001	0.1036482955	0.0967947761	0.09576808810000001	0.0397034915	-0.011539981299999998	0.09161651470000001	0.0309161586	-0.0145248934	0.042182526799999995	-0.011775106	-0.074367835	-0.0068179751	-0.1453361909	-0.0645914921	0.1069883978	0.0380767608	0.0180051371	-0.0038191704	-0.1003709744	-0.030827777	-0.0140121779	0.048072658600000005	-0.042653857999999996	0.1979001543	-0.030306856400000002	0.054559778200000006	-0.1114167234	-0.1142021902	0.037331098199999996	-0.1150942714	0.012852558500000002	-0.24977352719999998	-0.131850947	-0.0759924399	-0.0803833251	-0.0674598394	0.0100876202	-0.0916035382	-0.0051428271000000005	0.1095874966	0.0624859903	0.023967689	-0.041907436	0.0155111048	-0.0718704112	0.0022631146	0.11050375970000001	0.1174623425	-0.0777775459	0.1144017065	0.1112164334	0.0495912	0.07551829999999997	0.005703013634889997	0.00245928711744	0.022491	0.0018632999999999985	3.471886889999993e-06	0.000505845081	0.007823699999999998	-0.018716700000000003	6.121028168999996e-05	0.00035031485889000014	0.000397915	0.000218948	4.793822670399999e-08	1.58336347225e-07	0.000727035	8.093e-05	5.28579891225e-07	6.5496649e-09	0.000269214	-0.00040203700000000016	1.6163374936900008e-07	7.247617779599999e-08	0.0	0.0
4454309.074862851	5158.213048015721	19840869334405.547	26607161.84871964	6294297.163484345	-313211.5654648961	98101484740.97093	39618176782247.07	4088909.394750678	3684.248801944312	16719180038480.355	13573689.234628094	4032838.911285071	6600999.024841443	1.059647	40.554447	0.18092715	0.115417	-0.0878248623	0.0102283977	-0.12066426960000001	0.0083261773	0.0247788044	0.11822190490000001	-0.0982600193	0.0072298673	-0.0478925516	0.0068466872	0.0350777134	0.0013336645000000002	-0.0158585333	0.011799846599999999	-0.0734192436	-0.0337223823	-0.1612205797	-0.0479312536	-0.1024128296	-0.09613755550000001	0.0038041183	0.109893545	-0.0745166816	0.05614774	0.0532365593	-0.0900600092	-0.0895524807	-0.1089223894	-0.07824262629999999	-0.1518508789	-0.2266811674	-0.0316206689	-0.10532359529999999	-0.0348542651	0.0393062979	-0.04492156059999999	-0.0500608733	0.10390586560000001	-0.0343559883	-0.1187919823	0.09980543210000001	-0.0194681717	0.037426435099999995	-0.0335802045	-0.032586204900000006	-0.0036183764	0.0084389499	-0.0213033658	-0.0826603045	0.0523071041	-0.1240001808	-0.0929644818	-0.0705823543	-0.015442350700000001	0.0519880743	-0.050701254400000006	-0.19294334859999998	-0.0894912884	0.0691278152	0.11292645	0.133866471	-0.0052358118	0.023482745299999996	-0.11933217609999999	0.2132243377	0.0920159723	0.0932357431	-0.0158104313	-0.004466942	0.0432024882	0.0542521466	-0.052070764400000004	0.1140484259	0.10981854710000001	-0.0285909	-0.07818209999999999	0.006112440760409997	0.0008174395628099999	0.0245905	0.0020995000000000007	4.407900250000003e-06	0.00060469269025	0.08382349999999998	0.07599979999999998	0.007026379152249997	0.005775969600039997	0.000525437	0.00012752200000000006	1.6261860484000008e-08	2.7608404096900004e-07	0.000646105	-8.093e-05	4.17451671025e-07	6.5496649e-09	0.0005536769999999999	0.00028446299999999994	8.091919836899997e-08	3.065582203289999e-07	0.0	0.0
4476979.096249124	22670.0213862732	20043341828251.625	513929869.65408444	6597354.156487193	303056.9930028477	91843541007.92813	43525081866118.84	4112166.9005567217	23257.505806043744	16909916618034.275	540911576.3181585	4058123.925002248	6753116.537833641	1.06751	40.855385	0.19703580000000004	0.121187	-0.0408256453	-0.0944672835	-0.0451406772	-0.11559136699999999	-0.1267372757	0.0403608899	0.0724457657	-0.0805804812	-0.028044702400000003	0.0350227026	-0.0374247642	0.0521553841	-0.0416274679	0.1267623057	-0.1518413371	-0.0233854025	-0.0529279166	0.0161615012	-0.0928534047	-0.0255467852	-0.0392592547	0.1357659375	0.0401633999	0.0525659776	0.0359063502	0.0833232424	0.09877701400000001	0.0181501479	0.0277371341	0.028979346200000002	-0.0868597575	-0.0108816433	-0.0606150958	0.1262021011	0.0207194643	0.0468907321	-0.054636533200000004	-0.0644239038	0.12311364960000001	-0.0534958762	-0.0713916066	0.0585129617	0.0133530854	-0.07282030889999999	0.0469606787	0.0507907875	-0.0227394992	-0.12083529900000001	-0.1603681432	0.046612403399999995	-0.0490635396	-0.0197812072	-0.1318280965	-0.044404768	0.0248039451	-0.13163872470000001	0.037738202400000004	-0.0323346063	-0.0411865243	-0.0306687414	-0.0774194137	0.041767126200000004	0.0514679543	0.0158384703	0.0834325513	-0.0049535253999999996	0.07643547889999999	0.1175792457	0.046757478	-0.0249813277	0.0021489953	0.10089717710000001	0.1136451198	0.1082280018	0.0182134	0.0468043	0.0021906424984899997	0.00033172793956000004	0.0183396	-0.006250900000000004	3.907375081000005e-05	0.00033634092815999983	-0.014865799999999997	-0.09868929999999998	0.00022099200964	0.009739577934489995	0.000123008	-0.0004024290000000001	1.6194910004100006e-07	1.5130968063999998e-08	0.000497805	-0.00014829999999999995	2.4780981802500004e-07	2.1992889999999992e-08	0.00019858	-0.00035509699999999986	1.2609387940899995e-07	3.9434016400000006e-08	0.0	0.0
4465423.338282647	-11555.757966477424	19940005590079.336	133535542.17980644	6710758.610412712	113404.45392551926	12860570170.145218	45034281127228.36	4094100.284909832	-18066.6156468899	16761657142898.766	326402600.9324469	4042163.188788519	6749031.876862305	0.964496	36.912842	0.10735355	0.0812316	-0.0036999604999999997	-0.08630711869999999	0.0558633825	-0.11321119539999999	-0.0381526455	0.0143811489	-0.0659167242	-0.04917326599999999	-0.09474385869999999	0.0211715871	-0.038164405	0.1380113153	-0.09196276169999999	0.0889874445	0.1238464302	-0.0279662362	-0.0774697673	-0.004317286	-0.1219095632	0.1052574519	0.0215044254	-0.0336415376	-0.16580584439999999	0.0217864	-0.0400139155	-0.2241277988	-0.004668993	-0.0409712865	-0.09048802800000001	0.13007172919999999	-0.008519763100000001	0.016245156200000003	0.1319379359	-0.0653917042	0.0892024634	0.0283824579	0.0704983262	-0.020784428100000002	0.0401578015	-0.0175895421	0.0667111908	0.0421330952	0.0686546087	-0.0408670941	0.0197506746	0.1708989434	-0.09908319439999999	-0.0910053258	0.0810427212	0.0003392306	-0.07863022089999999	-0.0111566584	-0.0744136722	0.1320576048	-0.0176788097	0.0679096677	-0.1348212798	-0.0026626932	-0.1148079657	-0.0367879458	0.18255437719999998	0.0452406535	-0.1876914403	0.0623610601	0.027987952000000003	-0.016881216	-0.1569244877	-0.0373207179	-0.0911660679	-0.0036352214000000002	-0.0737120554	-0.0034927554	0.11319196529999999	0.1064475877	0.0170583	-0.0011551000000000027	1.3342560100000059e-06	0.00029098559888999994	0.0220871	0.003747500000000001	1.4043756250000006e-05	0.0004878399864099999	0.054865	0.0697308	0.003010168225	0.004862384468639999	0.000588861	0.000465853	2.1701901760900001e-07	3.46757277321e-07	0.000646105	0.00014829999999999995	4.17451671025e-07	2.1992889999999992e-08	0.00015833	-4.025e-05	1.6200625000000005e-09	2.5068388900000003e-08	0.0	0.0
