onset	duration	run_number	trial_number	task_condition	fix_direction
16595.6025	2.6000027	8	1	2	1
16598.2025	2.6000023	8	2	2	2
16600.8025	2.6000019	8	3	2	3
16603.4025	2.600004	8	4	2	4
16606.00251	2.6000016	8	5	2	5
16608.60251	2.6000043	8	6	2	10
16611.20251	2.6000023	8	7	2	9
16613.80252	2.6000042	8	8	2	8
16616.40252	2.6000009	8	9	2	7
16619.00252	2.6000019	8	10	2	6
16621.60252	2.6000021	8	11	2	11
16624.20253	2.6000034	8	12	2	12
16626.80253	2.6000004	8	13	2	13
16629.40253	2.600001	8	14	2	14
16632.00253	2.6000034	8	15	2	15
16634.60253	2.6000037	8	16	2	20
16637.20254	2.6000009	8	17	2	19
16639.80254	2.6000012	8	18	2	18
16642.40254	2.6000011	8	19	2	17
16645.00254	2.6000019	8	20	2	16
16647.60254	2.6000018	8	21	2	21
16650.20254	2.6000004	8	22	2	22
16652.80254	2.6000024	8	23	2	23
16655.40255	2.6000147	8	24	2	24
16658.00256	2.6000029	8	25	2	25
16660.60256	2.6000025	8	26	2	24
16663.20257	2.6000019	8	27	2	23
16665.80257	2.6000029	8	28	2	22
16668.40257	2.6000017	8	29	2	21
16671.00257	2.600003	8	30	2	16
16673.60258	2.6000039	8	31	2	17
16676.20258	2.6000013	8	32	2	18
16678.80258	2.6000039	8	33	2	19
16681.40259	2.600003	8	34	2	20
16684.00259	2.6000005	8	35	2	15
16686.60259	2.6000041	8	36	2	14
16689.20259	2.6000038	8	37	2	13
16691.8026	2.6000021	8	38	2	12
16694.4026	2.6000017	8	39	2	11
16697.0026	2.6000046	8	40	2	6
16699.60261	2.6000012	8	41	2	7
16702.20261	2.6000022	8	42	2	8
16704.80261	2.6000024	8	43	2	9
16707.40261	2.6000036	8	44	2	10
16710.00262	2.6000035	8	45	2	5
16712.60262	2.6000031	8	46	2	4
16715.20262	2.6000036	8	47	2	3
16717.80263	2.6000032	8	48	2	2
16720.40263	2.6000006	8	49	2	1
16723.00263	2.600004	8	50	2	2
16725.60263	2.6000028	8	51	2	3
16728.20264	2.6000034	8	52	2	4
16730.80264	2.6000036	8	53	2	5
16733.40264	2.6000031	8	54	2	10
16736.00265	2.6000039	8	55	2	9
16738.60265	2.6000041	8	56	2	8
16741.20265	2.6000023	8	57	2	7
16743.80266	2.6000025	8	58	2	6
16746.40266	2.6000035	8	59	2	11
16749.00266	2.6000041	8	60	2	12
16751.60267	2.6000026	8	61	2	13
16754.20267	2.6000035	8	62	2	14
16756.80267	2.6000005	8	63	2	15
16759.40267	2.6000008	8	64	2	20
16762.00267	2.6000006	8	65	2	19
16764.60267	2.6000026	8	66	2	18
16767.20268	2.6000004	8	67	2	17
16769.80268	2.6000039	8	68	2	16
16772.40268	2.6000042	8	69	2	21
16775.00269	2.6000002	8	70	2	22
16777.60269	2.6000018	8	71	2	23
16780.20269	2.6000041	8	72	2	24
16782.80269	2.6000017	8	73	2	25
16785.40269	2.6000035	8	74	2	24
16788.0027	2.6000033	8	75	2	23
16790.6027	2.6000003	8	76	2	22
16793.2027	2.6000024	8	77	2	21
16795.8027	2.6000006	8	78	2	16
16798.4027	2.6000034	8	79	2	17
16801.00271	2.6000041	8	80	2	18
16803.60271	2.6000003	8	81	2	19
16806.20271	2.6000032	8	82	2	20
16808.80271	2.6000025	8	83	2	15
16811.40272	2.6000037	8	84	2	14
16814.00272	2.6000011	8	85	2	13
16816.60272	2.6000038	8	86	2	12
16819.20273	2.6000028	8	87	2	11
16821.80273	2.6000046	8	88	2	6
16824.40273	2.6000019	8	89	2	7
16827.00273	2.600004	8	90	2	8
16829.60274	2.6000033	8	91	2	9
16832.20274	2.6000017	8	92	2	10
16834.80274	2.6000004	8	93	2	5
16837.40274	2.6000036	8	94	2	4
16840.00275	2.6000003	8	95	2	3
16842.60275	2.6000017	8	96	2	2
16845.20275	2.6000042	8	97	2	1
