onset	duration	run_number	trial_number	task_condition	fix_direction
16920.5979	2.6000044	9	1	3	1
16923.19791	2.6000031	9	2	3	6
16925.79791	2.6000116	9	3	3	11
16928.39792	2.6000019	9	4	3	16
16930.99792	2.6000038	9	5	3	21
16933.59793	2.6000002	9	6	3	22
16936.19793	2.6000024	9	7	3	17
16938.79793	2.6000013	9	8	3	12
16941.39793	2.6000029	9	9	3	7
16943.99793	2.6000027	9	10	3	2
16946.59794	2.6000005	9	11	3	3
16949.19794	2.6000023	9	12	3	8
16951.79794	2.6000029	9	13	3	13
16954.39794	2.6000007	9	14	3	18
16956.99794	2.6000036	9	15	3	23
16959.59795	2.6000018	9	16	3	24
16962.19795	2.6000016	9	17	3	19
16964.79795	2.6000033	9	18	3	14
16967.39795	2.6000005	9	19	3	9
16969.99795	2.6000003	9	20	3	4
16972.59795	2.6000035	9	21	3	5
16975.19796	2.6000029	9	22	3	10
16977.79796	2.6000019	9	23	3	15
16980.39796	2.600004	9	24	3	20
16982.99797	2.6000029	9	25	3	25
16985.59797	2.6000036	9	26	3	20
16988.19797	2.6000031	9	27	3	15
16990.79798	2.6000027	9	28	3	10
16993.39798	2.6000037	9	29	3	5
16995.99798	2.6000015	9	30	3	4
16998.59798	2.6000016	9	31	3	9
17001.19799	2.6000028	9	32	3	14
17003.79799	2.6000048	9	33	3	19
17006.39799	2.6000025	9	34	3	24
17008.998	2.6000003	9	35	3	23
17011.598	2.6000041	9	36	3	18
17014.198	2.6000018	9	37	3	13
17016.798	2.6000011	9	38	3	8
17019.398	2.6000011	9	39	3	3
17021.998	2.6000033	9	40	3	2
17024.59801	2.6000042	9	41	3	7
17027.19801	2.6000027	9	42	3	12
17029.79801	2.6000023	9	43	3	17
17032.39802	2.6000023	9	44	3	22
17034.99802	2.6000007	9	45	3	21
17037.59802	2.6000021	9	46	3	16
17040.19802	2.6000037	9	47	3	11
17042.79802	2.6000004	9	48	3	6
17045.39803	2.6000033	9	49	3	1
17047.99803	2.6000035	9	50	3	6
17050.59803	2.6000024	9	51	3	11
17053.19803	2.6000019	9	52	3	16
17055.79804	2.6000006	9	53	3	21
17058.39804	2.600001	9	54	3	22
17060.99804	2.6000032	9	55	3	17
17063.59804	2.6000026	9	56	3	12
17066.19804	2.6000112	9	57	3	7
17068.79805	2.6000035	9	58	3	2
17071.39806	2.6000007	9	59	3	3
17073.99806	2.6000007	9	60	3	8
17076.59806	2.6000038	9	61	3	13
17079.19806	2.6000034	9	62	3	18
17081.79807	2.6000004	9	63	3	23
17084.39807	2.6000009	9	64	3	24
17086.99807	2.6000026	9	65	3	19
17089.59807	2.6000024	9	66	3	14
17092.19807	2.6000003	9	67	3	9
17094.79807	2.6000032	9	68	3	4
17097.39808	2.6000024	9	69	3	5
17099.99808	2.6000005	9	70	3	10
17102.59808	2.6000036	9	71	3	15
17105.19808	2.6000024	9	72	3	20
17107.79809	2.6000002	9	73	3	25
17110.39809	2.600001	9	74	3	20
17112.99809	2.6000033	9	75	3	15
17115.59809	2.6000004	9	76	3	10
17118.19809	2.6000035	9	77	3	5
17120.79809	2.6000018	9	78	3	4
17123.3981	2.6000009	9	79	3	9
17125.9981	2.6000012	9	80	3	14
17128.5981	2.6000025	9	81	3	19
17131.1981	2.6000038	9	82	3	24
17133.7981	2.6000019	9	83	3	23
17136.39811	2.600004	9	84	3	18
17138.99811	2.600004	9	85	3	13
17141.59811	2.6000022	9	86	3	8
17144.19812	2.6000024	9	87	3	3
17146.79812	2.6000026	9	88	3	2
17149.39812	2.6000028	9	89	3	7
17151.99812	2.6000068	9	90	3	12
17154.59813	2.6000041	9	91	3	17
17157.19814	2.6000012	9	92	3	22
17159.79814	2.6000035	9	93	3	21
17162.39814	2.6000016	9	94	3	16
17164.99814	2.600003	9	95	3	11
17167.59814	2.6000011	9	96	3	6
17170.19815	2.6000025	9	97	3	1
