onset	duration	run_number	trial_number	task_condition	fix_direction
16263.42635	2.6000002	7	1	3	1
16266.02635	2.6000037	7	2	3	6
16268.62636	2.6000014	7	3	3	11
16271.22636	2.6000038	7	4	3	16
16273.82636	2.6000029	7	5	3	21
16276.42637	2.6000003	7	6	3	22
16279.02637	2.6000018	7	7	3	17
16281.62637	2.6000035	7	8	3	12
16284.22637	2.6000034	7	9	3	7
16286.82637	2.6000038	7	10	3	2
16289.42638	2.6000033	7	11	3	3
16292.02638	2.6000033	7	12	3	8
16294.62639	2.6000017	7	13	3	13
16297.22639	2.600012	7	14	3	18
16299.8264	2.6000018	7	15	3	23
16302.4264	2.6000017	7	16	3	24
16305.0264	2.6000001	7	17	3	19
16307.6264	2.6000021	7	18	3	14
16310.2264	2.6	7	19	3	9
16312.8264	2.6000033	7	20	3	4
16315.42641	2.600004	7	21	3	5
16318.02641	2.6000011	7	22	3	10
16320.62641	2.6000008	7	23	3	15
16323.22641	2.6000011	7	24	3	20
16325.82641	2.6000023	7	25	3	25
16328.42642	2.6000016	7	26	3	20
16331.02642	2.600004	7	27	3	15
16333.62642	2.600003	7	28	3	10
16336.22643	2.6000005	7	29	3	5
16338.82643	2.600003	7	30	3	4
16341.42643	2.6000018	7	31	3	9
16344.02643	2.6000017	7	32	3	14
16346.62643	2.6000062	7	33	3	19
16349.22644	2.6000006	7	34	3	24
16351.82644	2.600003	7	35	3	23
16354.42644	2.6000019	7	36	3	18
16357.02644	2.6000087	7	37	3	13
16359.62645	2.6000037	7	38	3	8
16362.22646	2.600004	7	39	3	3
16364.82646	2.6000015	7	40	3	2
16367.42646	2.6000037	7	41	3	7
16370.02647	2.6000023	7	42	3	12
16372.62647	2.6000008	7	43	3	17
16375.22647	2.6000018	7	44	3	22
16377.82647	2.6000001	7	45	3	21
16380.42647	2.6000004	7	46	3	16
16383.02647	2.6000029	7	47	3	11
16385.62647	2.6000029	7	48	3	6
16388.22648	2.6000034	7	49	3	1
16390.82648	2.6000006	7	50	3	6
16393.42648	2.6000006	7	51	3	11
16396.02648	2.600001	7	52	3	16
16398.62648	2.6000003	7	53	3	21
16401.22648	2.6000036	7	54	3	22
16403.82649	2.6000009	7	55	3	17
16406.42649	2.6000008	7	56	3	12
16409.02649	2.6000035	7	57	3	7
16411.62649	2.6000028	7	58	3	2
16414.22649	2.6000013	7	59	3	3
16416.8265	2.6000036	7	60	3	8
16419.4265	2.6000021	7	61	3	13
16422.0265	2.6000017	7	62	3	18
16424.6265	2.6000035	7	63	3	23
16427.22651	2.6000026	7	64	3	24
16429.82651	2.6000032	7	65	3	19
16432.42651	2.6000014	7	66	3	14
16435.02651	2.6000022	7	67	3	9
16437.62652	2.6000008	7	68	3	4
16440.22652	2.6000042	7	69	3	5
16442.82652	2.6000025	7	70	3	10
16445.42652	2.6000002	7	71	3	15
16448.02652	2.6000007	7	72	3	20
16450.62652	2.6000032	7	73	3	25
16453.22653	2.6000042	7	74	3	20
16455.82653	2.6000012	7	75	3	15
16458.42653	2.6000003	7	76	3	10
16461.02653	2.6000026	7	77	3	5
16463.62654	2.6000035	7	78	3	4
16466.22654	2.600002	7	79	3	9
16468.82654	2.600002	7	80	3	14
16471.42654	2.6000037	7	81	3	19
16474.02655	2.6000002	7	82	3	24
16476.62655	2.6000033	7	83	3	23
16479.22655	2.6000002	7	84	3	18
16481.82655	2.6000006	7	85	3	13
16484.42655	2.6000003	7	86	3	8
16487.02655	2.6000009	7	87	3	3
16489.62655	2.600003	7	88	3	2
16492.22656	2.6000012	7	89	3	7
16494.82656	2.6000012	7	90	3	12
16497.42656	2.600003	7	91	3	17
16500.02656	2.6000005	7	92	3	22
16502.62656	2.6000041	7	93	3	21
16505.22657	2.6000013	7	94	3	16
16507.82657	2.6000003	7	95	3	11
16510.42657	2.6000021	7	96	3	6
16513.02657	2.6	7	97	3	1
