onset	duration	run_number	trial_number	task_condition	fix_direction
15184.72355	2.6000009	4	1	2	1
15187.32355	2.6000025	4	2	2	2
15189.92356	2.6000006	4	3	2	3
15192.52356	2.6000035	4	4	2	4
15195.12356	2.6000011	4	5	2	5
15197.72356	2.6000005	4	6	2	10
15200.32356	2.6000022	4	7	2	9
15202.92356	2.6000038	4	8	2	8
15205.52357	2.6000032	4	9	2	7
15208.12357	2.6000002	4	10	2	6
15210.72357	2.600002	4	11	2	11
15213.32357	2.6000031	4	12	2	12
15215.92358	2.6000004	4	13	2	13
15218.52358	2.6000037	4	14	2	14
15221.12358	2.6000028	4	15	2	15
15223.72358	2.6000028	4	16	2	20
15226.32359	2.6000007	4	17	2	19
15228.92359	2.6000036	4	18	2	18
15231.52359	2.6000021	4	19	2	17
15234.12359	2.6000139	4	20	2	16
15236.72361	2.6000033	4	21	2	21
15239.32361	2.6000036	4	22	2	22
15241.92361	2.6000015	4	23	2	23
15244.52361	2.6000041	4	24	2	24
15247.12362	2.6000014	4	25	2	25
15249.72362	2.600003	4	26	2	24
15252.32362	2.6000004	4	27	2	23
15254.92362	2.6000005	4	28	2	22
15257.52362	2.6000014	4	29	2	21
15260.12362	2.6000018	4	30	2	16
15262.72363	2.6000024	4	31	2	17
15265.32363	2.6000003	4	32	2	18
15267.92363	2.6000022	4	33	2	19
15270.52363	2.6000012	4	34	2	20
15273.12363	2.600002	4	35	2	15
15275.72363	2.6000015	4	36	2	14
15278.32364	2.6000041	4	37	2	13
15280.92364	2.6000019	4	38	2	12
15283.52364	2.6000036	4	39	2	11
15286.12365	2.6000003	4	40	2	6
15288.72365	2.6000042	4	41	2	7
15291.32365	2.6000035	4	42	2	8
15293.92365	2.6000014	4	43	2	9
15296.52366	2.6000005	4	44	2	10
15299.12366	2.6000017	4	45	2	5
15301.72366	2.6000028	4	46	2	4
15304.32366	2.6000012	4	47	2	3
15306.92366	2.6000023	4	48	2	2
15309.52366	2.6000017	4	49	2	1
15312.12367	2.6000034	4	50	2	2
15314.72367	2.600004	4	51	2	3
15317.32367	2.6000018	4	52	2	4
15319.92367	2.6000008	4	53	2	5
15322.52368	2.6000024	4	54	2	10
15325.12368	2.6000009	4	55	2	9
15327.72368	2.6000019	4	56	2	8
15330.32368	2.6000046	4	57	2	7
15332.92368	2.6000002	4	58	2	6
15335.52369	2.6000022	4	59	2	11
15338.12369	2.6000037	4	60	2	12
15340.72369	2.6000026	4	61	2	13
15343.32369	2.6000002	4	62	2	14
15345.92369	2.600001	4	63	2	15
15348.52369	2.600002	4	64	2	20
15351.1237	2.6000024	4	65	2	19
15353.7237	2.6000037	4	66	2	18
15356.3237	2.600001	4	67	2	17
15358.9237	2.6000008	4	68	2	16
15361.5237	2.6000029	4	69	2	21
15364.12371	2.6000026	4	70	2	22
15366.72371	2.6000004	4	71	2	23
15369.32371	2.6000039	4	72	2	24
15371.92371	2.6000027	4	73	2	25
15374.52372	2.6	4	74	2	24
15377.12372	2.6000038	4	75	2	23
15379.72372	2.6000018	4	76	2	22
15382.32372	2.6000043	4	77	2	21
15384.92373	2.6000026	4	78	2	16
15387.52373	2.6000002	4	79	2	17
15390.12373	2.6000018	4	80	2	18
15392.72373	2.6000002	4	81	2	19
15395.32373	2.6000009	4	82	2	20
15397.92373	2.600003	4	83	2	15
15400.52374	2.6000018	4	84	2	14
15403.12374	2.6000043	4	85	2	13
15405.72374	2.6000003	4	86	2	12
15408.32374	2.6000035	4	87	2	11
15410.92375	2.6000031	4	88	2	6
15413.52375	2.6000001	4	89	2	7
15416.12375	2.6000011	4	90	2	8
15418.72375	2.600002	4	91	2	9
15421.32375	2.6000021	4	92	2	10
15423.92375	2.6000019	4	93	2	5
15426.52376	2.6000008	4	94	2	4
15429.12376	2.600002	4	95	2	3
15431.72376	2.6000005	4	96	2	2
15434.32376	2.6000005	4	97	2	1
