onset	duration	run_number	trial_number	task_condition	fix_direction
14778.55238	2.600003	3	1	3	1
14781.15239	2.6000032	3	2	3	6
14783.75239	2.6000028	3	3	3	11
14786.35239	2.6000008	3	4	3	16
14788.95239	2.6000032	3	5	3	21
14791.5524	2.6000016	3	6	3	22
14794.1524	2.6000013	3	7	3	17
14796.7524	2.6000028	3	8	3	12
14799.3524	2.6000044	3	9	3	7
14801.95241	2.6000004	3	10	3	2
14804.55241	2.6	3	11	3	3
14807.15241	2.6000018	3	12	3	8
14809.75241	2.6000018	3	13	3	13
14812.35241	2.6000041	3	14	3	18
14814.95241	2.6000023	3	15	3	23
14817.55242	2.600004	3	16	3	24
14820.15242	2.6000024	3	17	3	19
14822.75242	2.6000016	3	18	3	14
14825.35242	2.6000039	3	19	3	9
14827.95243	2.6000035	3	20	3	4
14830.55243	2.6000026	3	21	3	5
14833.15243	2.6000026	3	22	3	10
14835.75244	2.6000027	3	23	3	15
14838.35244	2.6000016	3	24	3	20
14840.95244	2.6000008	3	25	3	25
14843.55244	2.6000036	3	26	3	20
14846.15245	2.6000039	3	27	3	15
14848.75245	2.6000011	3	28	3	10
14851.35245	2.6000039	3	29	3	5
14853.95246	2.6000047	3	30	3	4
14856.55246	2.6000033	3	31	3	9
14859.15246	2.6000031	3	32	3	14
14861.75247	2.6000015	3	33	3	19
14864.35247	2.6000006	3	34	3	24
14866.95247	2.6000001	3	35	3	23
14869.55247	2.6000003	3	36	3	18
14872.15247	2.6000004	3	37	3	13
14874.75247	2.6	3	38	3	8
14877.35247	2.6000035	3	39	3	3
14879.95247	2.6000016	3	40	3	2
14882.55247	2.6000001	3	41	3	7
14885.15247	2.600004	3	42	3	12
14887.75248	2.600004	3	43	3	17
14890.35248	2.6000032	3	44	3	22
14892.95249	2.600003	3	45	3	21
14895.55249	2.6000012	3	46	3	16
14898.15249	2.6000039	3	47	3	11
14900.75249	2.6000027	3	48	3	6
14903.3525	2.6000013	3	49	3	1
14905.9525	2.6000027	3	50	3	6
14908.5525	2.6000025	3	51	3	11
14911.1525	2.6000014	3	52	3	16
14913.7525	2.600003	3	53	3	21
14916.35251	2.6000036	3	54	3	22
14918.95251	2.6000042	3	55	3	17
14921.55251	2.6000023	3	56	3	12
14924.15252	2.6000011	3	57	3	7
14926.75252	2.6000039	3	58	3	2
14929.35252	2.6000035	3	59	3	3
14931.95253	2.6000018	3	60	3	8
14934.55253	2.6000008	3	61	3	13
14937.15253	2.600004	3	62	3	18
14939.75253	2.6000021	3	63	3	23
14942.35253	2.6000006	3	64	3	24
14944.95254	2.6000033	3	65	3	19
14947.55254	2.6000018	3	66	3	14
14950.15254	2.6000026	3	67	3	9
14952.75254	2.6000011	3	68	3	4
14955.35254	2.6000041	3	69	3	5
14957.95255	2.6000012	3	70	3	10
14960.55255	2.6000031	3	71	3	15
14963.15255	2.6000016	3	72	3	20
14965.75255	2.6000002	3	73	3	25
14968.35255	2.6000007	3	74	3	20
14970.95255	2.6000033	3	75	3	15
14973.55256	2.6000016	3	76	3	10
14976.15256	2.6	3	77	3	5
14978.75256	2.6000009	3	78	3	4
14981.35256	2.6000044	3	79	3	9
14983.95256	2.6000017	3	80	3	14
14986.55257	2.6000023	3	81	3	19
14989.15257	2.6000031	3	82	3	24
14991.75257	2.6000015	3	83	3	23
14994.35257	2.6000011	3	84	3	18
14996.95257	2.600002	3	85	3	13
14999.55258	2.6000028	3	86	3	8
15002.15258	2.6000018	3	87	3	3
15004.75258	2.6000037	3	88	3	2
15007.35258	2.6000042	3	89	3	7
15009.95259	2.6000004	3	90	3	12
15012.55259	2.6000006	3	91	3	17
15015.15259	2.6	3	92	3	22
15017.75259	2.6000004	3	93	3	21
15020.35259	2.6000023	3	94	3	16
15022.95259	2.6000011	3	95	3	11
15025.55259	2.6000024	3	96	3	6
15028.1526	2.6000004	3	97	3	1
