onset	duration	run_number	trial_number	task_condition	fix_direction
15909.57251	2.6000002	6	1	2	1
15912.17251	2.6000025	6	2	2	2
15914.77251	2.6000001	6	3	2	3
15917.37251	2.6000026	6	4	2	4
15919.97251	2.6000027	6	5	2	5
15922.57252	2.6000007	6	6	2	10
15925.17252	2.6000008	6	7	2	9
15927.77252	2.6000014	6	8	2	8
15930.37252	2.6000044	6	9	2	7
15932.97252	2.6000038	6	10	2	6
15935.57253	2.6000033	6	11	2	11
15938.17253	2.6000036	6	12	2	12
15940.77253	2.6000044	6	13	2	13
15943.37254	2.6000042	6	14	2	14
15945.97254	2.600001	6	15	2	15
15948.57254	2.6000001	6	16	2	20
15951.17254	2.6000044	6	17	2	19
15953.77255	2.6000006	6	18	2	18
15956.37255	2.6000019	6	19	2	17
15958.97255	2.6000026	6	20	2	16
15961.57255	2.6000028	6	21	2	21
15964.17256	2.6000015	6	22	2	22
15966.77256	2.6000028	6	23	2	23
15969.37256	2.600004	6	24	2	24
15971.97256	2.6000011	6	25	2	25
15974.57256	2.6000033	6	26	2	24
15977.17257	2.6000025	6	27	2	23
15979.77257	2.6000014	6	28	2	22
15982.37257	2.6000014	6	29	2	21
15984.97257	2.6000023	6	30	2	16
15987.57258	2.6000002	6	31	2	17
15990.17258	2.6000033	6	32	2	18
15992.77258	2.6000026	6	33	2	19
15995.37258	2.6000028	6	34	2	20
15997.97258	2.6000008	6	35	2	15
16000.57259	2.6000003	6	36	2	14
16003.17259	2.6000041	6	37	2	13
16005.77259	2.6000015	6	38	2	12
16008.37259	2.6000025	6	39	2	11
16010.97259	2.6000029	6	40	2	6
16013.5726	2.6000027	6	41	2	7
16016.1726	2.6000011	6	42	2	8
16018.7726	2.6000009	6	43	2	9
16021.3726	2.6000007	6	44	2	10
16023.9726	2.6000006	6	45	2	5
16026.5726	2.6	6	46	2	4
16029.1726	2.6000033	6	47	2	3
16031.77261	2.6000036	6	48	2	2
16034.37261	2.6000029	6	49	2	1
16036.97261	2.6000006	6	50	2	2
16039.57261	2.6000012	6	51	2	3
16042.17261	2.6	6	52	2	4
16044.77261	2.600004	6	53	2	5
16047.37262	2.6000018	6	54	2	10
16049.97262	2.6000034	6	55	2	9
16052.57262	2.6000017	6	56	2	8
16055.17263	2.6000032	6	57	2	7
16057.77263	2.6000006	6	58	2	6
16060.37263	2.6000024	6	59	2	11
16062.97263	2.6000014	6	60	2	12
16065.57263	2.6000038	6	61	2	13
16068.17264	2.6000022	6	62	2	14
16070.77264	2.6000009	6	63	2	15
16073.37264	2.6000033	6	64	2	20
16075.97264	2.6000016	6	65	2	19
16078.57264	2.6000043	6	66	2	18
16081.17265	2.6000014	6	67	2	17
16083.77265	2.6000026	6	68	2	16
16086.37265	2.6000031	6	69	2	21
16088.97266	2.6000024	6	70	2	22
16091.57266	2.6000038	6	71	2	23
16094.17266	2.6000022	6	72	2	24
16096.77266	2.6000014	6	73	2	25
16099.37267	2.6000011	6	74	2	24
16101.97267	2.600004	6	75	2	23
16104.57267	2.6000006	6	76	2	22
16107.17267	2.6000044	6	77	2	21
16109.77268	2.6000001	6	78	2	16
16112.37268	2.6000001	6	79	2	17
16114.97268	2.6000029	6	80	2	18
16117.57268	2.6000021	6	81	2	19
16120.17268	2.6000034	6	82	2	20
16122.77268	2.6000028	6	83	2	15
16125.37269	2.6000039	6	84	2	14
16127.97269	2.6000037	6	85	2	13
16130.57269	2.6000035	6	86	2	12
16133.1727	2.6000023	6	87	2	11
16135.7727	2.600004	6	88	2	6
16138.3727	2.6000004	6	89	2	7
16140.97271	2.6000042	6	90	2	8
16143.57271	2.6000042	6	91	2	9
16146.17271	2.6000028	6	92	2	10
16148.77272	2.6	6	93	2	5
16151.37272	2.6000005	6	94	2	4
16153.97272	2.6000022	6	95	2	3
16156.57272	2.6000039	6	96	2	2
16159.17272	2.6000031	6	97	2	1
