onset	duration	run_number	trial_number	task_condition	fix_direction
14371.01708	2.6000013	2	1	2	1
14373.61708	2.6000022	2	2	2	2
14376.21708	2.6000012	2	3	2	3
14378.81709	2.6000041	2	4	2	4
14381.41709	2.6000006	2	5	2	5
14384.01709	2.6000023	2	6	2	10
14386.61709	2.6000034	2	7	2	9
14389.2171	2.6000042	2	8	2	8
14391.8171	2.6000001	2	9	2	7
14394.4171	2.6000022	2	10	2	6
14397.0171	2.600002	2	11	2	11
14399.6171	2.6000009	2	12	2	12
14402.21711	2.6000021	2	13	2	13
14404.81711	2.6000015	2	14	2	14
14407.41711	2.6000007	2	15	2	15
14410.01711	2.6000032	2	16	2	20
14412.61711	2.600004	2	17	2	19
14415.21712	2.6000001	2	18	2	18
14417.81712	2.6000005	2	19	2	17
14420.41712	2.6000043	2	20	2	16
14423.01712	2.6000023	2	21	2	21
14425.61712	2.6000016	2	22	2	22
14428.21713	2.6000038	2	23	2	23
14430.81713	2.6000018	2	24	2	24
14433.41713	2.6000003	2	25	2	25
14436.01713	2.6000012	2	26	2	24
14438.61713	2.6000012	2	27	2	23
14441.21713	2.6000035	2	28	2	22
14443.81714	2.6000064	2	29	2	21
14446.41714	2.6000007	2	30	2	16
14449.01714	2.6000012	2	31	2	17
14451.61715	2.6000009	2	32	2	18
14454.21715	2.6000081	2	33	2	19
14456.81715	2.6000006	2	34	2	20
14459.41716	2.600001	2	35	2	15
14462.01716	2.6000035	2	36	2	14
14464.61716	2.6000008	2	37	2	13
14467.21716	2.6000003	2	38	2	12
14469.81716	2.6000039	2	39	2	11
14472.41716	2.6000037	2	40	2	6
14475.01717	2.6000031	2	41	2	7
14477.61717	2.6000018	2	42	2	8
14480.21717	2.6000002	2	43	2	9
14482.81717	2.6000022	2	44	2	10
14485.41718	2.6000007	2	45	2	5
14488.01718	2.6000018	2	46	2	4
14490.61718	2.6000031	2	47	2	3
14493.21718	2.6000005	2	48	2	2
14495.81718	2.6000028	2	49	2	1
14498.41718	2.6000028	2	50	2	2
14501.01719	2.6000001	2	51	2	3
14503.61719	2.6000032	2	52	2	4
14506.21719	2.6000039	2	53	2	5
14508.81719	2.6000004	2	54	2	10
14511.41719	2.6000024	2	55	2	9
14514.0172	2.6000028	2	56	2	8
14516.6172	2.6000016	2	57	2	7
14519.2172	2.6000033	2	58	2	6
14521.8172	2.6000002	2	59	2	11
14524.41721	2.6000005	2	60	2	12
14527.01721	2.600002	2	61	2	13
14529.61721	2.6000006	2	62	2	14
14532.21721	2.6000016	2	63	2	15
14534.81721	2.6000004	2	64	2	20
14537.41721	2.600004	2	65	2	19
14540.01721	2.6000035	2	66	2	18
14542.61722	2.6000002	2	67	2	17
14545.21722	2.6000005	2	68	2	16
14547.81722	2.6000026	2	69	2	21
14550.41722	2.6000038	2	70	2	22
14553.01722	2.600004	2	71	2	23
14555.61723	2.6000008	2	72	2	24
14558.21723	2.6000036	2	73	2	25
14560.81723	2.6000039	2	74	2	24
14563.41724	2.6000013	2	75	2	23
14566.01724	2.6000002	2	76	2	22
14568.61724	2.6000024	2	77	2	21
14571.21724	2.6	2	78	2	16
14573.81724	2.6000019	2	79	2	17
14576.41724	2.6000011	2	80	2	18
14579.01724	2.6000024	2	81	2	19
14581.61725	2.6000039	2	82	2	20
14584.21725	2.6000022	2	83	2	15
14586.81725	2.6000018	2	84	2	14
14589.41725	2.6000014	2	85	2	13
14592.01726	2.6000003	2	86	2	12
14594.61726	2.6000019	2	87	2	11
14597.21726	2.6000019	2	88	2	6
14599.81726	2.600001	2	89	2	7
14602.41726	2.600003	2	90	2	8
14605.01726	2.6000006	2	91	2	9
14607.61726	2.6000003	2	92	2	10
14610.21726	2.6000039	2	93	2	5
14612.81727	2.6000014	2	94	2	4
14615.41727	2.6000035	2	95	2	3
14618.01727	2.6000033	2	96	2	2
14620.61728	2.6000093	2	97	2	1
